,institution_main,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
2425,University of the Pacific,143,123,117,10,16,CA,1,2,2,2,11,3,45,59,66,20,70,534,0,0,7,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2426,University of the People,166,182,201,56,19,CA,1,2,2,2,12,5,16,22,22,1,23,0,0,0,7,1,1,-2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,50,5,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2427,University of the Potomac-VA Campus,166,182,201,56,19,VA,1,3,2,2,21,1,0,0,100,20,100,1,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,77,19,1.0,1,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
2428,University of the Potomac-Washington DC Campus,0,0,0,1,0,DC,1,3,2,2,11,1,0,0,43,20,43,0,0,0,0,1,1,-2,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2429,University of the Sciences,29,43,70,10,4,PA,1,2,2,2,11,2,71,79,81,20,81,185,16,0,87,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,77,50,11,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2430,University of the Southwest,2,6,17,6,1,NM,1,2,2,2,41,1,13,26,26,20,26,37,0,0,20,1,1,-2,A,1,1,1,121,121,242,158,159,317,81,90,171,69,100,11,1.0,1,0,0,0,White,Asian,White,490,650,490,600,18,25,18,27,17,25
2431,University of the West,4,2,7,2,0,CA,1,2,2,2,21,1,10,28,28,10,28,30,0,0,10,1,1,-2,A,1,1,1,589,-347,3247,0,0,0,814,17,1515,75,45,4,0.0,1,1,0,0,Asian,White,White,455,625,502,661,22,22,23,27,22,24
2432,University of Toledo,216,166,143,25,155,OH,1,1,2,2,11,4,31,50,53,20,53,800,80,230,122,1,1,-2,A,1,1,1,2931,4134,7065,5123,7463,12586,483,635,1118,92,33,12,0.0,1,1,0,1,White,White,White,600,670,590,670,27,30,23,27,22,24
2433,University of Tulsa,99,94,99,17,0,OK,1,2,2,2,11,2,56,72,73,20,73,354,0,0,88,1,1,-2,A,1,1,1,1733,2375,4108,2089,2670,4759,237,324,561,82,0,13,1.0,1,1,0,1,White,White,White,455,625,502,661,22,22,23,27,22,24
2434,University of Utah,770,556,567,24,291,UT,1,1,2,2,12,5,34,57,67,20,67,2377,1006,947,423,1,1,-2,A,1,1,1,1445,2147,3592,1634,2408,4042,239,312,551,75,37,15,1.0,1,1,0,1,White,White,White,455,625,502,661,22,22,23,27,22,24
