,institution_main,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
495,College of Charleston,149,189,115,58,0,SC,1,1,2,2,12,4,57,65,66,25,66,610,0,0,8,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,25,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
496,College of Coastal Georgia,10,28,43,6,14,GA,1,1,2,2,13,2,13,19,23,37,23,110,0,0,28,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,18,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
497,College of Menominee Nation,0,0,0,18,0,WI,1,2,2,1,42,1,22,34,71,20,13,28,0,0,6,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,18,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
498,College of Mount Saint Vincent,13,32,24,7,0,NY,1,2,2,2,11,2,43,59,63,20,63,151,1,0,7,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,18,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
499,College of Our Lady of the Elms,8,22,19,1,4,MA,1,2,2,2,21,2,55,64,64,29,64,92,0,0,15,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,18,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
500,College of Saint Benedict,47,51,26,8,0,MN,1,2,2,2,22,2,80,85,85,20,85,138,0,0,23,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,18,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
501,College of Saint Mary,15,14,39,17,0,NE,1,2,2,2,11,2,49,55,59,27,61,111,0,0,22,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,18,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
502,College of Southern Idaho,54,23,18,43,0,ID,1,1,2,2,33,3,22,34,71,13,26,199,0,0,94,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,18,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
503,College of Southern Nevada,379,0,0,80,0,NV,1,1,2,2,11,5,22,34,71,17,15,873,2,0,45,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,18,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
504,College of Staten Island CUNY,134,105,58,0,36,NY,1,1,2,2,11,4,26,42,50,33,31,520,0,0,52,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,18,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
505,College of the Atlantic,27,0,0,0,0,ME,1,2,2,2,33,1,53,65,66,20,66,27,0,0,1,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,40,45,10,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
506,College of the Holy Cross,98,89,79,4,24,MA,1,2,2,2,12,2,90,92,93,5,93,306,0,0,48,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,41,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
507,College of the Ozarks,23,36,34,3,0,MO,1,2,2,2,32,2,45,60,60,29,60,112,0,0,18,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,45,17,1.0,1,0,0,0,Hispanic,Asian,White,455,625,502,661,22,22,23,27,22,24
508,College Unbound,166,182,201,56,19,RI,1,2,2,2,12,1,22,34,71,20,50,14,0,0,6,1,1,-2,A,1,1,1,9,87,96,9,87,96,4,50,54,63,45,41,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
509,CollegeAmerica-Colorado Springs,166,182,201,56,19,CO,1,2,2,2,11,1,22,34,71,20,50,-149,-5,74,60,1,2,4,A,1,1,3,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,8,0.0,0,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
510,CollegeAmerica-Fort Collins,166,182,201,56,19,CO,1,2,2,2,12,1,22,34,71,20,50,-149,-5,74,60,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,15,0.0,1,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
511,Collin County Community College District,0,0,0,0,0,TX,1,1,2,2,22,5,22,34,71,34,16,854,0,0,297,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,66,52,13,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
512,Colorado Christian University,24,28,54,1,0,CO,1,2,2,2,12,3,54,59,60,20,61,279,0,0,23,1,1,2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,100,20,0.0,1,0,0,0,Asian,Asian,White,455,625,502,661,22,22,23,27,22,24
513,Colorado College,58,59,88,0,5,CO,1,2,2,2,11,2,82,87,88,20,88,226,0,0,79,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,41,59,15,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
514,Colorado Mesa University,57,56,79,116,3,CO,1,1,2,2,13,3,25,40,44,26,37,400,0,0,5,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,0,20,1.0,1,0,0,0,Black,Asian,White,455,625,502,661,22,22,23,27,22,24
515,Colorado Mountain College,52,42,20,0,0,CO,1,1,2,2,33,3,2,11,11,36,25,223,0,0,42,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,68,75,24,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
516,Colorado School of Mines,99,72,47,76,15,CO,1,1,2,2,21,3,65,82,84,5,84,368,171,0,75,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,50,36,12,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
517,Colorado School of Traditional Chinese Medicine,166,182,201,56,19,CO,1,3,2,2,11,1,22,34,71,20,50,12,0,0,0,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,0,0,1,White,Asian,White,455,625,502,661,22,22,23,27,22,24
518,Colorado State University Pueblo,42,37,59,0,28,CO,1,1,2,2,12,3,19,34,37,22,37,228,0,0,25,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,35,38,18,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
519,Colorado State University-Fort Collins,482,370,393,217,0,CO,1,1,2,2,12,5,47,67,70,11,70,1849,1058,160,479,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,57,37,23,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
520,Colorado State University-Global Campus,0,0,0,0,0,CO,1,1,2,2,11,4,22,34,71,20,50,213,0,0,135,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,6,0.0,1,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
521,Colorado Technical University-Colorado Springs,0,0,0,0,0,CO,1,3,2,2,11,5,17,19,20,20,23,477,0,0,89,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,12,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
522,Columbia Basin College,0,0,0,0,0,WA,1,1,2,2,22,3,22,34,71,11,33,187,0,0,2,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,60,26,1.0,1,1,0,0,Hispanic,Hispanic,White,455,625,502,661,22,22,23,27,22,24
523,Columbia College,17,23,19,7,0,MO,1,2,2,2,12,3,14,21,23,20,28,212,0,0,26,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,94,100,25,1.0,1,1,0,0,Hispanic,Hispanic,White,455,625,502,661,22,22,23,27,22,24
524,Columbia College,11,10,18,0,8,SC,1,2,2,2,12,2,60,65,66,23,66,84,0,5,13,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,33,8,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
525,Columbia College Chicago,38,136,33,0,53,IL,1,2,2,2,11,3,42,49,50,20,50,450,0,0,62,1,1,-2,A,1,1,1,6731,8535,15266,7878,10068,17946,2377,2537,4914,92,76,20,0.0,1,1,1,1,White,White,White,590,650,570,670,25,31,24,33,23,29
526,Columbia College Hollywood,0,0,0,16,0,CA,1,2,2,2,11,1,27,36,40,20,58,45,0,0,13,1,1,-2,A,1,1,1,1473,2928,4401,1553,3053,4606,223,451,674,70,33,16,0.0,1,1,1,1,White,White,Asian,480,575,430,515,18,23,17,24,16,22
527,Columbia College of Nursing,166,182,201,56,19,WI,1,2,2,2,21,1,100,100,100,20,100,-149,-5,74,60,1,1,-2,A,1,1,1,741,1267,2008,1140,1606,2746,230,333,563,73,45,13,0.0,1,1,0,1,White,White,White,440,613,465,595,17,23,15,22,16,23
528,Columbia International University,22,24,0,0,0,SC,1,2,2,2,12,2,59,65,65,22,68,97,0,0,21,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
529,Columbia Southern University,0,0,0,308,0,AL,1,3,2,2,31,4,15,20,21,20,30,368,0,0,160,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,54,46,15,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
530,Columbia Theological Seminary,9,7,5,0,1,GA,1,2,2,2,21,1,22,34,71,20,50,22,0,1,9,1,1,-2,A,1,1,1,874,2186,3060,1113,2579,3692,337,691,1028,74,43,17,1.0,1,1,1,1,White,White,White,520,620,500,590,19,26,19,27,18,25
531,Columbia University in the City of New York,1416,714,1610,153,434,NY,1,2,2,2,11,5,86,94,96,2,96,4961,2440,0,146,1,1,-2,A,1,1,1,1595,2359,3954,2767,4127,6894,257,286,543,85,45,11,0.0,1,1,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
532,Columbus College of Art and Design,24,17,19,0,0,OH,1,2,2,2,11,2,53,60,61,20,61,97,0,0,15,1,1,-2,A,1,1,1,575,879,1454,864,1173,2037,117,207,324,84,45,12,0.0,1,1,0,0,White,White,White,535,670,520,720,22,28,21,28,22,27
533,Columbus State University,97,75,93,23,43,GA,1,1,2,2,12,3,18,32,39,37,38,399,0,0,79,1,1,-2,A,1,1,1,921,1192,2113,1883,2405,4288,166,174,340,82,45,12,0.0,1,1,0,0,White,White,White,560,660,550,650,22,29,22,29,20,26
534,Community College of Denver,53,19,7,31,0,CO,1,1,2,2,11,3,22,34,71,13,18,197,0,0,35,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,66,45,23,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
535,Compass College of Cinematic Arts,166,182,201,56,19,MI,1,2,2,2,12,1,22,34,71,20,78,6,0,0,1,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,97,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
536,Conception Seminary College,166,182,201,56,19,MO,1,2,2,2,42,1,19,19,19,20,25,5,0,0,4,1,1,-2,A,1,1,1,9,66,75,13,108,121,6,30,36,69,100,9,1.0,1,0,0,0,White,Asian,White,455,625,502,661,19,24,17,23,15,22
537,Concord University,30,13,28,13,0,WV,1,1,2,2,32,2,28,36,38,32,38,99,0,0,2,1,1,-2,A,1,1,1,1022,1467,2489,1212,1753,2965,316,481,797,78,33,20,0.0,1,1,1,0,White,White,White,490,570,490,570,19,23,17,23,17,24
538,Concorde Career College-Kansas City,0,0,0,12,0,MO,1,3,2,2,11,1,22,34,71,20,66,20,0,0,2,1,1,-2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,94,45,46,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
539,Concordia College,9,9,23,2,0,NY,1,2,2,2,21,2,26,37,47,35,47,90,0,0,3,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,100,20,1.0,1,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
540,Concordia College at Moorhead,48,55,39,6,0,MN,1,2,2,2,22,2,63,67,68,24,68,163,0,0,14,1,1,1,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,3,0.0,1,1,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
541,Concordia Seminary,15,12,3,0,0,MO,1,2,2,2,21,1,22,34,71,20,50,37,0,0,8,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,11,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
542,Concordia Theological Seminary,11,3,5,0,0,IN,1,2,2,2,11,1,22,34,71,20,50,24,0,0,5,1,1,-2,A,1,1,1,2263,4433,6696,2554,4792,7346,540,898,1438,70,40,16,1.0,1,1,1,0,White,White,Asian,463,618,455,570,19,24,18,24,16,23
543,Concordia University Texas,10,23,18,4,0,TX,1,2,2,2,11,2,29,42,43,20,43,110,0,0,3,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,1,0,1,White,White,White,455,625,502,661,22,22,23,27,22,24
544,Concordia University-Ann Arbor,11,13,32,1,0,MI,1,2,2,2,12,2,27,38,42,20,42,90,0,0,0,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1,White,Asian,White,455,625,502,661,22,22,23,27,22,24
545,Concordia University-Chicago,51,58,42,121,0,IL,1,2,2,2,21,3,39,50,51,39,51,323,2,0,20,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
546,Concordia University-Irvine,31,23,40,0,0,CA,1,2,2,2,11,2,47,57,59,20,59,168,0,0,48,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,13,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
547,Concordia University-Nebraska,28,12,21,1,0,NE,1,2,2,2,32,2,46,62,63,20,63,116,0,0,21,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,26,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
548,Concordia University-Portland,166,182,201,56,19,OR,1,2,2,2,11,-2,22,34,71,20,50,-149,-5,74,60,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,78,45,13,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
549,Concordia University-Saint Paul,28,30,27,14,0,MN,1,2,2,2,11,3,36,44,47,20,48,193,0,0,39,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,45,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
550,Concordia University-Wisconsin,62,71,86,5,0,WI,1,2,2,2,21,3,49,60,63,20,61,352,1,0,1,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,92,100,24,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
551,Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,0,0,0,19,0,NY,1,2,2,2,11,1,0,11,11,41,11,21,0,0,1,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,74,100,20,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
552,Connecticut College,69,57,53,2,18,CT,1,2,2,2,13,2,78,81,82,20,82,223,0,0,17,1,1,-2,A,1,1,1,91,72,177,108,110,331,80,61,144,48,46,9,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
553,Converse College,18,26,35,3,2,SC,1,2,2,2,13,2,1,8,52,20,52,85,1,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,0,45,10,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
554,Conway School of Landscape Design,166,182,201,56,19,MA,1,2,2,2,21,1,22,34,71,20,50,3,0,0,0,1,3,-1,D,1,3,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1,White,Asian,White,455,625,502,661,22,22,23,27,22,24
555,Cooper Union for the Advancement of Science and Art,29,7,17,0,0,NY,1,2,2,2,11,1,66,76,79,20,79,101,2,0,37,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,97,45,18,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
556,Coppin State University,24,36,56,7,0,MD,1,1,1,2,11,2,12,27,30,35,30,163,0,0,4,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,98,100,20,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
557,Cornell College,42,11,21,0,0,IA,1,2,2,2,31,2,67,67,67,26,67,89,1,0,18,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,95,86,20,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
558,Cornell University,744,395,353,52,314,NY,1,2,2,2,13,5,89,94,95,20,95,1910,928,217,169,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,96,21,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
559,Cornerstone University,20,11,32,1,0,MI,1,2,2,2,12,2,54,65,66,20,65,96,0,0,28,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,0,0,1,White,Asian,White,455,625,502,661,22,22,23,27,22,24
560,Cornish College of the Arts,16,13,11,0,0,WA,1,2,2,2,11,1,50,52,52,20,52,64,0,0,13,1,1,-2,A,1,1,1,628,803,1431,711,848,1559,134,163,297,71,45,13,0.0,1,1,0,0,White,White,White,518,630,500,610,21,28,20,29,19,26
561,Cottey College,15,9,18,0,0,MO,1,2,2,2,33,1,58,60,65,20,54,45,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,45,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
562,Covenant College,33,14,11,0,0,GA,1,2,2,2,41,1,58,66,68,26,68,69,0,0,9,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,45,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
563,Covenant Theological Seminary,9,3,3,0,0,MO,1,2,2,2,21,1,22,34,71,20,50,30,0,0,16,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,87,45,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
564,Cox College,4,10,44,1,0,MO,1,2,2,2,12,1,0,0,0,50,50,70,0,0,10,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,91,45,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
565,Cranbrook Academy of Art,0,0,0,10,0,MI,1,2,2,2,21,1,22,34,71,20,50,11,0,0,2,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,45,14,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
566,Creighton University,178,187,230,50,2,NE,1,2,2,2,11,3,71,79,79,7,82,746,17,0,15,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,95,45,11,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
567,Criswell College,6,5,2,0,0,TX,1,2,2,2,11,1,21,50,50,20,50,18,0,0,13,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1,White,Asian,White,455,625,502,661,22,22,23,27,22,24
568,Crowley's Ridge College,0,2,9,0,0,AR,1,2,2,2,41,1,16,37,37,35,39,18,0,0,4,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,100,16,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
569,Crown College,7,10,11,0,0,MN,1,2,2,2,41,2,50,56,58,30,60,66,0,0,11,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,100,7,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
570,Culinary Institute of America,33,50,20,27,0,NY,1,2,2,2,21,2,22,34,71,7,70,153,0,0,13,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,12,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
571,Culver-Stockton College,9,11,15,0,13,MO,1,2,2,2,43,2,42,46,46,33,46,59,0,0,3,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,89,45,11,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
572,Cumberland University,13,15,34,17,0,TN,1,2,2,2,31,2,40,53,54,32,54,116,0,0,26,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,81,45,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
573,CUNY Bernard M Baruch College,183,140,105,0,49,NY,1,1,2,2,11,4,45,68,73,14,73,693,0,1,93,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,45,16,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
574,CUNY Brooklyn College,201,141,85,0,44,NY,1,1,2,2,11,4,28,49,54,23,54,727,0,0,51,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,15,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
575,CUNY City College,259,158,82,0,54,NY,1,1,2,2,11,4,24,52,60,23,60,792,3,0,105,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,73,45,7,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
576,CUNY Graduate School and University Center,150,50,25,0,5,NY,1,1,2,2,11,3,22,34,71,20,50,359,22,2,117,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,93,7,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
577,CUNY Hunter College,275,184,85,0,68,NY,1,1,2,2,11,5,27,50,56,29,56,1020,0,0,74,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,61,45,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
578,CUNY John Jay College of Criminal Justice,104,167,60,0,67,NY,1,1,2,2,11,4,33,47,51,28,51,628,2,0,48,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,91,45,16,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
579,CUNY Lehman College,95,114,96,1,66,NY,1,1,2,2,11,4,28,47,53,20,53,574,0,0,65,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,84,45,20,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
580,CUNY Medgar Evers College,38,32,41,2,32,NY,1,1,2,2,11,3,3,12,23,28,21,212,0,0,16,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,55,63,16,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
581,CUNY New York City College of Technology,88,143,117,0,19,NY,1,1,2,2,11,4,6,17,27,39,18,682,0,0,66,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,45,14,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
582,CUNY Queens College,201,160,96,0,96,NY,1,1,2,2,11,4,26,46,53,25,53,819,0,0,48,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,93,71,18,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
583,CUNY School of Law,32,13,5,6,0,NY,1,1,2,2,11,1,22,34,71,20,50,62,0,0,5,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,45,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
584,CUNY York College,52,59,50,0,23,NY,1,1,2,2,11,3,8,25,32,42,32,311,0,0,38,1,1,-2,A,1,1,1,5,70,75,5,70,75,4,53,57,72,45,16,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
585,Curry College,45,25,35,3,0,MA,1,2,2,2,21,2,49,54,55,36,55,172,0,0,26,1,1,-2,A,1,1,1,10,150,160,10,150,160,8,120,128,87,45,17,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
586,Curtis Institute of Music,0,0,0,0,0,PA,1,2,2,2,11,1,56,94,94,20,85,42,0,0,12,1,1,-2,A,1,1,1,2,49,51,5,111,116,2,42,44,95,100,17,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
587,Cypress College,0,0,0,224,0,CA,1,1,2,2,21,4,22,34,71,16,30,349,0,24,38,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,50,9,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
588,Cyrus The Great International Online University,166,182,201,56,19,NY,1,2,2,2,21,-1,22,34,71,20,50,-149,-5,74,60,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,16,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
589,D'Youville College,21,86,59,2,0,NY,1,2,2,2,11,2,29,48,53,27,60,192,1,0,4,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,87,100,16,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
