instnm,Professors (S2020_SIS  All full-time instructional staff),Associate professors (S2020_SIS  All full-time instructional staff),Assistant professors (S2020_SIS  All full-time instructional staff),Intructors (S2020_SIS  All full-time instructional staff),Lecturers (S2020_SIS  All full-time instructional staff),State abbreviation (HD2020),Level of institution (HD2020),Control of institution (HD2020),Historically Black College or University (HD2020),Tribal college (HD2020),Degree of urbanization (Urban-centric locale) (HD2020),Institution size category (HD2020),Percent admitted - total (DRVADM2020),Percent admitted - men (DRVADM2020),Percent admitted - women (DRVADM2020),Admissions yield - total (DRVADM2020),Admissions yield - men (DRVADM2020),Admissions yield - women (DRVADM2020),Percent of undergraduate enrollment 18-24 (DRVEF2020),Percent of undergraduate enrollment  25-64 (DRVEF2020),Percent of total enrollment that are American Indian or Alaska Native (DRVEF2020),Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander (DRVEF2020),Percent of total enrollment that are Asian (DRVEF2020),Percent of total enrollment that are Native Hawaiian or Other Pacific Islander (DRVEF2020),Percent of total enrollment that are Black or African American (DRVEF2020),Percent of total enrollment that are Hispanic/Latino (DRVEF2020),Percent of total enrollment that are White (DRVEF2020),Percent of total enrollment that are Race/ethnicity unknown (DRVEF2020),Percent of total enrollment that are Nonresident Alien (DRVEF2020),Percent of total enrollment that are two or more races (DRVEF2020),Percent of students enrolled exclusively in distance education courses (DRVEF2020),Percent of students enrolled in some but not all distance education courses (DRVEF2020),Percent of students not enrolled in any distance education courses (DRVEF2020),Percent of first-time undergraduates - in-state (DRVEF2020),Percent of first-time undergraduates - out-of-state (DRVEF2020),Percent of first-time undergraduates - foreign countries (DRVEF2020),Full-time retention rate  2020 (EF2020D),Part-time retention rate  2020 (EF2020D),Number of students receiving a Doctor's degree (DRVC2020),Number of students receiving a Master's degree (DRVC2020),Number of students receiving a Bachelor's degree (DRVC2020),Number of students receiving an Associate's degree (DRVC2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Graduation rate - Bachelor degree within 4 years  total (DRVGR2020),Graduation rate - Bachelor degree within 5 years  total (DRVGR2020),Graduation rate - Bachelor degree within 6 years  total (DRVGR2020),Transfer-out rate  total cohort (DRVGR2020),Graduation rate  total cohort (DRVGR2020),Instructional FTE (DRVHR2020),Research FTE (DRVHR2020),Public Service FTE (DRVHR2020),Instructional  research and public service FTE (DRVHR2020),Librarians  Curators  and Archivists FTE (DRVHR2020),Student and Academic Affairs and Other Education Services FTE (DRVHR2020),Management FTE (DRVHR2020),Business and Financial Operations FTE (DRVHR2020),Computer  Engineering  and Science FTE (DRVHR2020),Community Service  Legal  Arts  and Media FTE (DRVHR2020),Healthcare FTE (DRVHR2020),Service  sales  office/admin support  natural resources  construction  maintenance  production  transportation & materials moving FTE (DRVHR2020),Service FTE (DRVHR2020),Sales and Related FTE (DRVHR2020),Office and Administrative Support FTE (DRVHR2020),Natural Resources  Construction  and Maintenance FTE (DRVHR2020),Production  Transportation  and Material Moving FTE (DRVHR2020),Physical books as a percent of the total library collection (DRVAL2020),Physical media as a percent of the total library collection (DRVAL2020),Digital/Electronic books as a percent of the total library collection (DRVAL2020),Digital/Electronic media as a percent of the total library collection (DRVAL2020),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2020),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2020),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 25th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),ACT Composite 25th percentile score (ADM2020),ACT Composite 75th percentile score (ADM2020),ACT English 25th percentile score (ADM2020),ACT English 75th percentile score (ADM2020),ACT Math 25th percentile score (ADM2020),ACT Math 75th percentile score (ADM2020)
Park University,20,36,39,2,15,MO,1,2,2,2,21,4,,,,,,,32,67,1,3,2,1,18,22,43,4,2,6,70,20,10,28,70,1,63,30,0,595,1737,174,23,33,11,23,27,33,28,383,0,0,383,4,129,38,55,27,37,1,86,36,0,42,8,0,3,0,59,16,,,,,,,,,,,,
Parker University,12,10,31,20,0,TX,1,2,2,2,11,2,,,,,,,28,71,1,6,6,0,13,20,52,4,1,3,7,65,28,93,7,0,75,60,205,23,103,98,75,77,100,100,100,9,76,102,0,0,102,1,26,57,11,19,5,2,41,15,1,25,0,0,14,0,25,52,,,,,,,,,,,,
Pasco-Hernando State College,31,32,38,47,0,FL,1,1,2,2,21,3,,,,,,,56,23,0,4,3,0,6,23,60,3,0,4,86,12,2,99,1,0,,,0,0,225,1727,28,35,,,,14,32,225,0,0,225,12,15,23,20,44,75,0,147,3,16,102,26,0,17,1,53,21,,,,,,,,,,,,
Pathways College,,,,,,CA,1,2,2,2,12,1,100,100,,100,100,,46,54,8,0,0,0,0,46,38,8,0,0,100,0,0,100,0,0,100,,0,0,0,0,,,,,,,,2,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,98,0,0,0,,,,,,,,,,
Patrick Henry College,8,5,5,0,0,VA,1,2,2,2,31,1,88,89,88,53,54,52,,,0,8,7,1,1,4,66,21,0,0,9,0,91,12,88,0,91,73,0,0,38,0,58,65,49,51,61,,61,18,0,0,18,2,3,9,3,4,4,0,17,1,5,8,3,0,8,0,64,23,96,56,650,720,570,660,25,31,28,35,21,28
Paul Quinn College,0,7,0,0,6,TX,1,2,1,2,11,1,62,60,63,7,13,4,85,15,0,0,0,0,75,22,1,0,1,0,100,0,0,80,20,0,56,100,0,0,62,0,21,20,11,20,21,15,21,22,0,0,22,1,0,21,6,0,8,2,15,0,1,5,8,1,97,3,0,0,60,25,425,495,430,520,14,17,11,16,14,17
Paul Smiths College of Arts and Science,19,10,9,6,0,NY,1,2,2,2,42,1,67,67,68,20,23,17,91,7,1,1,0,0,6,2,78,10,1,1,2,46,52,59,40,0,73,,0,0,141,44,53,58,45,50,51,,55,55,3,8,66,4,20,15,10,5,10,2,19,9,1,9,0,0,14,0,85,0,,,,,,,,,,,,
PCI College,,,,,,CA,1,3,2,2,21,1,,,,,,,,,1,14,13,1,4,69,11,2,0,0,1,24,76,100,0,0,,,0,0,1,25,100,67,,,,,73,3,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,99,0,,,,,,,,,,,,
Peirce College,12,10,3,0,0,PA,1,2,2,2,11,2,,,,,,,12,88,1,3,3,0,55,10,19,10,1,2,100,0,0,62,38,0,100,50,0,27,185,68,11,23,0,50,50,28,16,74,0,0,74,2,24,17,14,9,1,0,10,7,0,3,0,0,6,0,57,28,,,,,,,,,,,,
Peninsula College,0,0,0,46,0,WA,1,1,2,2,33,2,,,,,,,37,42,4,2,2,0,3,10,60,11,3,7,46,26,28,84,16,0,,,0,0,14,304,49,43,,,,15,46,78,0,0,78,2,4,40,6,10,2,11,57,3,1,40,13,0,11,1,87,0,,,,,,,,,,,,
Pennsylvania Academy of the Fine Arts,16,2,1,0,0,PA,1,2,2,2,11,1,88,83,89,13,13,12,,,1,6,6,0,7,4,57,7,10,7,50,49,1,42,53,0,37,0,0,32,33,0,80,56,50,50,50,24,62,29,0,0,29,11,9,9,5,2,11,1,19,0,6,8,4,1,97,3,0,0,,,,,,,,,,,,
Pennsylvania College of Art and Design,0,2,12,0,0,PA,1,2,2,2,13,1,47,44,49,40,39,41,96,3,0,3,3,0,12,5,69,2,0,7,4,93,3,78,22,0,75,,0,0,60,0,50,51,49,49,51,,51,32,0,0,32,2,9,9,2,3,1,0,6,3,0,3,0,0,38,7,55,0,,,,,,,,,,,,
Pennsylvania College of Health Sciences,3,10,14,41,3,PA,1,2,2,2,21,2,54,49,55,49,65,48,,,0,4,4,0,10,12,69,3,0,2,26,35,39,96,4,0,79,63,0,44,214,270,75,65,100,100,100,16,66,76,0,0,76,3,11,36,7,11,0,1,11,3,0,8,0,0,2,0,19,0,,,,,,,,,,,,
Pennsylvania College of Technology,10,42,93,125,9,PA,1,1,2,2,13,2,,,,,,,81,17,0,1,1,0,3,4,87,1,0,3,9,39,52,91,9,0,75,60,0,0,663,772,52,34,42,52,55,6,47,321,0,0,321,12,18,85,51,39,59,15,352,196,7,110,31,8,24,1,44,1,,,,,,,,,,,,
Pennsylvania State University-College of Medicine,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Dickinson Law,,,,,,PA,1,1,2,2,13,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Main Campus,,,,,,PA,1,1,2,2,13,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Abington,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Altoona,,,,,,PA,1,1,2,2,13,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Beaver,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Berks,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Brandywine,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State DuBois,,,,,,PA,1,1,2,2,33,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Erie-Behrend College,,,,,,PA,1,1,2,2,22,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Fayette- Eberly,,,,,,PA,1,1,2,2,23,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Great Valley,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Greater Allegheny,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Harrisburg,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Hazleton,,,,,,PA,1,1,2,2,23,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Lehigh Valley,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Mont Alto,,,,,,PA,1,1,2,2,31,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State New Kensington,,,,,,PA,1,1,2,2,41,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Schuylkill,,,,,,PA,1,1,2,2,32,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Scranton,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Shenango,,,,,,PA,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Wilkes-Barre,,,,,,PA,1,1,2,2,41,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State York,,,,,,PA,1,1,2,2,22,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-World Campus,,,,,,PA,1,1,2,2,41,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pensacola State College,38,29,26,58,10,FL,1,1,2,2,13,3,,,,,,,47,33,1,3,2,0,15,8,65,1,2,7,56,23,21,95,5,0,,,0,0,216,1824,29,36,,,,12,33,230,0,0,230,0,14,39,26,47,59,0,212,9,0,181,22,0,43,4,26,10,,,,,,,,,,,,
Pepperdine University,139,76,87,45,20,CA,1,2,2,2,21,3,42,46,39,15,16,14,93,5,0,11,10,0,9,18,42,6,10,5,100,0,0,46,46,7,85,50,233,1485,882,0,86,91,80,87,89,,89,541,0,0,541,32,229,265,99,101,143,23,295,75,11,133,44,32,30,3,46,16,70,38,600,690,600,720,26,31,27,34,25,30
Peru State College,10,10,21,11,0,NE,1,1,2,2,42,2,,,,,,,63,21,1,1,1,0,7,7,79,1,1,3,49,20,31,68,32,0,64,22,0,100,278,0,35,37,20,32,36,36,36,68,0,0,68,2,5,28,0,8,31,4,43,13,0,19,11,0,15,1,84,0,,,,,,,,,,,,
Pfeiffer University,14,33,40,1,0,NC,1,2,2,2,42,2,76,72,78,13,14,12,88,10,1,2,2,0,26,9,58,1,2,2,27,14,59,83,17,0,67,0,0,132,142,0,36,52,33,42,43,,43,101,0,0,101,6,15,7,12,6,28,1,18,1,1,16,0,0,24,1,48,14,30,13,480,550,460,550,16,20,12,17,15,20
Philadelphia College of Osteopathic Medicine,67,68,67,9,0,PA,1,2,2,2,11,2,,,,,,,,,0,16,16,0,14,2,50,4,0,13,2,0,98,,,,,,514,298,0,0,,,,,,,,211,28,0,239,8,2,88,9,23,0,0,101,13,0,87,1,0,22,2,30,12,,,,,,,,,,,,
Philander Smith College,5,11,19,11,0,AR,1,2,1,2,12,1,,,,,,,85,12,0,0,0,0,91,3,0,0,4,2,3,96,1,42,58,0,58,67,0,0,120,0,33,34,25,31,34,,34,59,0,0,59,5,10,14,16,4,7,1,43,26,1,16,0,0,67,5,27,0,,,,,,,,,,,,
Phillips School of Nursing at Mount Sinai Beth Israel,1,1,4,0,0,NY,1,2,2,2,11,1,,,,,,,40,59,0,20,19,1,19,16,43,0,0,2,0,0,100,,,,,,0,0,48,29,,100,100,100,100,,100,21,0,0,21,1,1,5,1,2,0,0,0,0,0,0,0,0,69,0,18,8,,,,,,,,,,,,
Phillips Theological Seminary,3,3,5,1,0,OK,1,2,2,2,11,1,,,,,,,,,2,1,1,0,21,3,66,2,1,4,16,41,43,,,,,,1,10,0,0,,,,,,,,12,0,0,12,4,7,3,5,2,2,0,8,0,2,5,1,0,63,3,21,12,,,,,,,,,,,,
Phoenix Institute of Herbal Medicine & Acupuncture,,,,,,AZ,1,3,2,2,11,1,,,,,,,,,2,20,20,0,6,5,52,11,2,2,0,0,100,,,,,,0,10,0,0,,,,,,,,10,0,0,10,0,4,5,1,0,0,1,2,0,0,2,0,0,98,2,0,0,,,,,,,,,,,,
Phoenix Seminary,4,1,1,0,0,AZ,1,2,2,2,11,1,,,,,,,,,2,8,8,0,7,10,65,2,0,5,11,34,55,,,,,,1,44,0,0,,,,,,,,13,0,0,13,3,4,10,1,0,1,0,5,0,0,4,1,0,74,12,13,0,,,,,,,,,,,,
Piedmont University,34,44,31,1,0,GA,1,2,2,2,32,2,70,70,70,24,26,24,76,21,0,1,1,0,12,5,74,6,0,1,38,22,41,82,18,0,77,50,10,287,295,0,42,44,38,43,43,,43,184,0,0,184,4,12,28,6,10,37,5,80,14,11,42,12,1,13,0,73,8,78,33,500,590,480,570,19,25,17,24,17,25
Pierce College District,0,0,0,142,0,WA,1,1,2,2,13,3,,,,,,,45,33,0,9,8,2,8,16,49,4,2,11,78,19,3,98,2,0,,,0,0,61,1597,29,35,,,,20,32,227,0,0,227,5,13,54,59,19,9,0,200,43,0,146,10,1,36,0,48,15,,,,,,,,,,,,
Pikes Peak Community College,0,0,0,0,0,CO,1,1,2,2,21,4,,,,,,,44,36,1,3,3,1,7,21,58,3,1,6,26,21,53,99,1,0,,,0,0,3,1642,14,20,,,,20,17,347,0,0,347,2,9,55,16,23,4,0,260,65,5,167,18,5,5,1,81,12,,,,,,,,,,,,
Pillar College,4,4,6,0,0,NJ,1,2,2,2,11,1,,,,,,,,,0,2,2,0,24,47,14,1,7,4,0,0,100,97,3,0,50,33,0,47,59,29,27,24,12,12,28,,25,43,0,0,43,1,25,11,10,1,4,0,7,0,0,7,0,0,0,0,99,0,,,,,,,,,,,,
Pima Medical Institute-Tucson,0,0,0,61,0,AZ,1,3,2,2,11,2,,,,,,,,,2,5,5,0,7,40,37,1,0,8,22,0,78,100,0,0,,,0,0,285,466,53,69,,,,1,66,106,0,0,106,0,25,6,0,0,0,0,46,0,0,46,0,0,0,0,100,0,,,,,,,,,,,,
Pine Manor College,6,2,14,0,0,MA,1,2,2,2,21,1,57,50,62,9,5,11,91,9,2,1,1,0,26,23,13,15,17,4,99,0,1,83,11,0,47,,0,8,35,6,18,33,16,21,23,,25,40,1,0,41,2,10,8,6,0,6,0,11,0,2,4,4,1,44,1,34,20,,,,,,,,,,,,
Pioneer Pacific College,,,,,,OR,1,3,2,2,13,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburg State University,114,62,48,53,0,KS,1,1,2,2,32,3,91,87,94,44,52,39,,,1,1,1,0,4,6,79,0,3,6,18,36,46,63,37,0,74,21,16,455,1135,30,48,57,43,50,52,,53,325,0,0,325,15,2,119,53,30,36,10,217,69,0,91,48,9,41,1,42,0,,,,,,,,,,,,
Pittsburgh Technical College,0,0,0,65,0,PA,1,2,2,2,41,2,,,,,,,,,0,1,1,0,6,1,60,26,0,5,15,12,73,83,17,0,55,,0,0,36,435,57,61,,,,8,59,88,0,9,97,2,12,41,5,4,3,0,71,11,23,37,0,0,9,2,55,34,,,,,,,,,,,,
Pittsburgh Theological Seminary,8,4,2,0,0,PA,1,2,2,2,11,1,,,,,,,,,0,2,2,0,20,2,71,0,2,3,74,26,0,,,,,,13,16,0,0,,,,,,,,14,0,0,14,7,0,23,0,2,2,0,28,8,0,20,0,0,77,14,5,0,,,,,,,,,,,,
Pitzer College,43,20,21,4,5,CA,1,2,2,2,21,1,17,20,15,32,36,29,,,1,13,12,0,6,16,45,3,8,8,0,0,100,45,48,8,81,,0,0,276,0,80,86,75,81,83,,83,96,0,0,96,1,47,25,10,12,13,0,70,47,0,18,5,0,37,1,49,8,,,,,,,,,,,,
Platt College-Anaheim,0,0,0,10,0,CA,1,3,2,2,11,1,,,,,,,,,1,9,9,0,2,31,17,37,0,4,0,0,100,100,0,0,,,0,0,29,180,,,,,,,,24,0,0,24,1,17,10,0,0,0,0,7,0,0,7,0,0,85,4,0,0,,,,,,,,,,,,
Platt College-Aurora,0,0,0,10,0,CO,1,3,2,2,11,1,45,0,48,100,,100,24,76,0,8,7,0,6,22,57,1,0,6,0,100,0,100,0,0,100,,0,0,66,0,,0,0,0,0,100,0,21,0,0,21,1,1,5,4,1,0,4,6,0,4,2,0,0,8,1,90,0,,,,,,,,,,,,
Platt College-Los Angeles,0,0,0,17,0,CA,1,3,2,2,21,1,,,,,,,,,0,9,8,0,4,62,12,8,0,4,29,0,71,99,1,0,,,0,0,37,228,78,67,,,,,71,42,0,0,42,1,23,15,0,0,0,0,9,0,0,9,0,0,92,3,0,0,,,,,,,,,,,,
Platt College-Miller-Motte-Wilmington,0,0,0,3,0,NC,1,3,2,2,12,2,,,,,,,,,1,1,1,0,55,5,33,1,0,4,92,3,5,22,78,0,,,0,0,15,94,10,18,23,23,23,3,17,56,0,0,56,0,18,20,8,0,0,0,46,5,33,8,0,0,1,0,83,1,,,,,,,,,,,,
Platt College-Ontario,0,0,0,17,0,CA,1,3,2,2,12,1,,,,,,,,,1,4,3,1,10,61,18,1,0,5,0,0,100,100,0,0,,,0,0,58,197,50,52,,,,,52,27,0,0,27,1,16,11,0,0,0,0,7,0,0,7,0,0,97,0,0,0,,,,,,,,,,,,
Platt College-Riverside,0,0,0,13,0,CA,1,3,2,2,11,1,,,,,,,,,0,3,2,1,9,59,21,1,0,6,0,0,100,100,0,0,,,0,0,47,176,57,68,,,,,65,28,0,0,28,1,15,12,0,0,0,0,6,0,0,6,0,0,90,1,0,0,,,,,,,,,,,,
Platt College-San Diego,0,0,0,6,0,CA,1,3,2,2,11,1,,,,,,,42,57,1,10,7,3,13,25,36,9,0,5,0,0,100,100,0,0,,,0,0,32,75,52,87,,,,,63,10,0,0,10,1,1,4,4,1,0,0,7,0,3,4,0,0,0,0,0,100,,,,,,,,,,,,
Plaza College,0,0,0,0,0,NY,1,3,2,2,11,1,30,30,30,55,55,55,40,46,0,14,14,0,32,32,10,0,0,11,100,0,0,100,0,0,,,0,0,68,223,83,65,,,,7,68,40,0,0,40,2,0,3,0,3,0,0,52,0,0,48,4,0,2,0,98,0,,,,,,,,,,,,
Plymouth State University,69,49,36,0,30,NH,1,1,2,2,33,2,89,88,91,17,20,15,97,3,0,1,1,0,2,4,78,10,1,3,12,68,19,47,52,1,70,50,37,228,870,0,55,61,48,57,58,,58,242,1,0,243,10,14,48,22,9,50,5,138,52,0,66,14,6,44,1,31,16,,,,,,,,,,,,
Point Loma Nazarene University,83,41,25,0,0,CA,1,2,2,2,11,2,84,93,80,22,18,25,82,17,0,7,7,0,2,30,50,2,1,7,6,29,65,73,26,1,84,0,8,478,941,0,64,76,65,71,72,23,72,230,0,0,230,6,58,84,23,25,71,6,186,57,1,103,19,6,37,0,62,0,72,44,560,650,540,640,23,28,23,30,22,27
Point Park University,60,38,29,0,12,PA,1,2,2,2,11,2,70,66,71,14,17,13,81,18,0,1,1,0,13,5,72,1,3,4,41,45,14,58,40,2,73,0,41,339,622,2,54,55,49,54,55,28,55,252,0,0,252,0,65,49,36,13,66,1,67,13,0,34,11,9,4,1,72,8,74,24,483,610,470,570,18,26,17,26,17,25
Point University,16,7,2,20,0,GA,1,2,2,2,32,2,35,36,34,42,50,33,,,0,2,2,0,28,7,49,4,2,6,21,12,67,72,23,5,65,33,0,18,195,31,27,41,23,29,29,,33,142,0,0,142,1,25,29,9,5,28,0,7,0,0,4,0,3,8,0,92,0,42,37,470,540,440,540,17,21,15,22,16,21
Polk State College,0,0,0,0,0,FL,1,1,2,2,13,3,,,,,,,50,30,0,3,3,0,16,26,49,1,1,4,76,13,10,98,1,0,70,44,0,0,428,1677,28,36,,,,8,32,224,0,0,224,12,142,31,27,25,35,0,138,3,0,118,17,0,18,1,56,16,,,,,,,,,,,,
Polytechnic University of Puerto Rico-Miami,,,,,,FL,1,2,2,2,13,1,,,,,,,,,0,0,0,0,1,98,1,0,0,0,100,0,0,85,15,0,100,100,0,37,21,0,,100,100,100,100,,100,8,0,0,8,0,4,1,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,
Polytechnic University of Puerto Rico-Orlando,1,6,0,0,0,FL,1,2,2,2,21,1,,,,,,,,,0,0,0,0,0,98,1,0,0,0,78,18,4,100,0,0,63,57,0,17,32,0,,100,100,100,100,,100,16,1,0,17,0,12,2,0,1,0,0,3,0,0,2,1,0,1,0,71,10,,,,,,,,,,,,
Pomona College,91,51,33,0,0,CA,1,2,2,2,21,2,9,10,8,45,45,44,97,1,0,19,18,0,11,18,30,4,11,7,0,0,100,28,54,18,86,,0,0,405,0,93,95,89,93,94,,94,232,0,0,232,4,57,80,29,32,37,2,292,174,0,104,13,1,37,1,49,8,,,,,,,,,,,,
Ponce Health Sciences University-St Louis,1,4,6,0,0,MO,1,3,2,2,11,1,,,,,,,,,2,15,15,0,45,15,23,0,0,0,0,0,100,,,,,,0,5,0,0,,,,,,,,12,0,0,12,0,3,2,0,0,0,0,1,0,0,1,0,0,27,0,33,3,,,,,,,,,,,,
Pontifical College Josephinum,3,6,7,2,0,OH,1,2,2,2,11,1,75,75,,67,67,,,,0,3,3,0,0,13,72,1,9,1,13,0,87,25,75,0,86,,0,11,18,0,58,,47,47,47,,58,23,0,0,23,3,0,10,2,3,1,0,14,4,0,6,4,0,21,0,69,0,,,,,,,,,,,,
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,2,3,13,1,0,DC,1,2,2,2,11,1,,,,,,,,,0,2,2,0,0,10,73,8,5,1,0,0,100,,,,,,0,39,0,0,,,,,,,,19,0,1,20,2,0,1,1,0,0,0,9,0,0,9,0,0,96,1,0,0,,,,,,,,,,,,
Pontifical John Paul II Institute for Studies on Marriage and Family,,,,,,DC,1,2,2,2,11,1,,,,,,,,,0,3,3,0,0,11,54,16,16,0,0,0,100,,,,,,1,7,0,0,,,,,,,,9,2,0,11,0,0,2,0,0,0,0,3,0,0,3,0,0,49,1,39,1,,,,,,,,,,,,
Pope St John XXIII National Seminary,7,0,0,0,0,MA,1,2,2,2,21,1,,,,,,,,,0,6,6,0,7,11,67,0,9,0,0,0,100,,,,,,0,13,0,0,,,,,,,,16,0,0,16,0,0,3,0,0,0,0,10,6,1,3,0,0,99,1,0,0,,,,,,,,,,,,
Portland State University,212,209,172,149,0,OR,1,1,2,2,11,5,95,93,96,24,25,23,60,35,1,9,8,1,4,16,50,9,5,6,8,28,64,79,20,1,75,40,97,1589,4399,0,48,50,27,45,49,13,49,984,77,41,1102,45,88,144,446,182,219,15,341,46,3,213,79,0,37,21,33,4,40,31,510,610,490,580,17,24,16,24,17,24
Post University,0,0,0,0,0,CT,1,3,2,2,22,4,,,,,,,,,1,1,1,0,27,8,38,9,0,16,92,3,5,14,86,0,60,28,0,298,1030,361,24,26,18,26,27,,25,370,0,0,370,3,522,101,19,31,34,1,20,0,0,8,10,2,4,0,81,0,,,,,,,,,,,,
Potomac State College of West Virginia University,10,9,8,25,0,WV,1,1,2,2,32,2,,,,,,,77,9,0,1,1,0,7,3,81,2,0,5,8,73,19,76,24,1,55,0,0,0,47,211,19,28,,,,33,24,58,0,0,58,2,5,23,2,4,17,2,53,25,0,17,10,1,91,8,0,0,,,,,,,,,,,,
Prairie View A & M University,76,65,118,2,164,TX,1,1,1,2,32,3,76,69,80,32,33,31,91,7,0,2,2,0,84,8,2,0,2,2,34,61,5,89,11,1,74,13,21,295,1213,0,31,41,14,31,37,33,37,453,31,50,534,23,12,145,78,72,103,10,245,54,0,178,7,6,10,0,39,0,82,36,440,520,430,520,16,20,14,20,16,20
