institution,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag
Tenaj Salon Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,65,45,20,0,-2,-2,-2,-2
Tennessee Board of Regents,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,1,0,0,0,0
Tennessee College of Applied Technology Nashville,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,40,14,0,0,0,0,0
Tennessee College of Applied Technology-Athens,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,45,20,0,0,0,0,0
Tennessee College of Applied Technology-Covington,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,68,25,24,0,0,0,0,0
Tennessee College of Applied Technology-Crossville,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,84,100,20,0,0,0,0,0
Tennessee College of Applied Technology-Crump,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,61,69,22,0,0,0,0,0
Tennessee College of Applied Technology-Dickson,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,81,88,21,0,0,0,0,0
Tennessee College of Applied Technology-Elizabethton,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,93,45,19,0,0,0,0,0
Tennessee College of Applied Technology-Harriman,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,79,81,20,0,0,0,0,0
Tennessee College of Applied Technology-Hartsville,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,75,15,0,0,0,0,0
Tennessee College of Applied Technology-Hohenwald,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,20,20,0,0,0,0,0
Tennessee College of Applied Technology-Jacksboro,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,77,83,16,0,0,0,0,0
Tennessee College of Applied Technology-Jackson,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,0,17,0,0,0,0,0
Tennessee College of Applied Technology-Knoxville,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,0,20,0,0,0,0,0
Tennessee College of Applied Technology-Livingston,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,78,69,25,0,0,0,0,0
Tennessee College of Applied Technology-McKenzie,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,100,14,0,0,0,0,0
Tennessee College of Applied Technology-McMinnville,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,63,15,0,0,0,0,0
Tennessee College of Applied Technology-Memphis,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,56,20,0,0,0,0,0
Tennessee College of Applied Technology-Morristown,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,63,20,0,0,0,0,0
Tennessee College of Applied Technology-Murfreesboro,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,73,20,0,0,0,0,0
Tennessee College of Applied Technology-Newbern,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,79,24,0,0,0,0,0
Tennessee College of Applied Technology-Oneida-Huntsville,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,20,16,15,0,0,0,0,0
Tennessee College of Applied Technology-Paris,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,77,60,11,0,0,0,0,0
Tennessee College of Applied Technology-Pulaski,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,72,70,10,0,0,0,0,0
