institution,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag
Colgate University,1,1,-2,A,1,1,1,1025,1333,2358,4029,4554,8583,363,402,765,94,45,9,0,1,1,0,0
Collectiv Academy,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,10,0,-2,-2,-2,-2
Colleen O'Haras Beauty Academy,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
College for Creative Studies,1,1,-2,A,1,1,1,278,685,963,570,1169,1739,103,231,334,70,67,10,0,1,1,0,0
College of Alameda,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,51,27,30,1,0,0,0,0
College of Business and Technology-Cutler Bay,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,45,15,1,0,0,0,0
College of Business and Technology-Hialeah,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,93,45,15,1,0,0,0,0
College of Business and Technology-Main Campus,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,91,45,15,1,0,0,0,0
College of Central Florida,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,19,1,1,0,0,0
College of Charleston,1,1,-2,A,1,1,1,3369,7938,11307,4848,10366,15214,620,1432,2052,80,40,15,0,1,1,0,0
College of Coastal Georgia,1,1,-2,A,1,1,1,606,1569,2175,631,1636,2267,186,453,639,64,52,21,1,1,0,0,0
College of Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,40,45,27,0,0,0,0,0
College of Court Reporting Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,64,18,1,0,0,0,0
College of DuPage,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,66,46,19,1,0,0,0,0
College of Eastern Idaho,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,52,11,1,0,0,0,0
College of Hair Design Careers,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,85,45,20,0,0,0,0,0
College of Hair Design-Downtown,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,92,45,10,0,0,0,0,0
College of Hair Design-East Campus,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,77,45,8,0,0,0,0,0
College of Health Care Professions (The),1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,97,45,25,0,-2,-2,-2,-2
College of International Esthetics Inc,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
College of Lake County,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,48,15,1,0,0,0,0
College of Massage Therapy,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,6,0,-2,-2,-2,-2
College of Menominee Nation,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,0,4,1,1,0,0,0
College of Micronesia-FSM,1,1,3,A,1,1,1,512,613,1125,628,724,1352,290,373,663,73,46,14,1,1,0,0,0
College of Mount Saint Vincent,1,1,-2,A,1,1,1,837,1909,2746,930,2033,2963,140,229,369,76,45,14,1,1,1,0,0
College of Our Lady of the Elms,1,1,-2,A,1,1,1,253,779,1032,380,1099,1479,31,93,124,79,50,12,1,1,1,0,1
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,67,15,1,1,1,0,0
College of Saint Benedict,1,1,-2,A,1,1,1,589,1550,1550,0,1845,1845,814,400,400,89,45,12,0,1,0,0,0
College of Saint Mary,1,1,-2,A,1,1,1,589,230,230,0,460,460,814,95,95,77,45,9,1,1,1,1,1
College of San Mateo,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,40,19,1,0,0,0,0
College of Southern Idaho,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,21,1,1,0,0,0
College of Southern Maryland,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,65,39,17,1,0,0,0,0
Columbia Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,77,58,12,0,-2,-2,-2,-2
College of Southern Nevada,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,21,1,1,0,0,0
College of Staten Island CUNY,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,81,75,20,1,1,1,1,1
College of the Albemarle,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,68,46,13,1,0,0,0,0
College of the Atlantic,1,1,-2,A,1,1,1,97,210,307,136,269,405,32,51,83,89,45,10,0,1,1,0,0
College of the Canyons,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,39,27,1,0,0,0,0
College of the Desert,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,68,36,30,1,0,0,0,0
College of the Holy Cross,1,1,-2,A,1,1,1,1210,1479,2689,3180,3907,7087,306,429,735,89,45,10,0,1,0,0,0
College of the Mainland,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,52,16,1,0,0,0,0
College of the Marshall Islands,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,13,1,1,0,0,0
College of the Muscogee Nation,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,54,33,10,1,0,0,0,0
College of the Ozarks,1,1,-2,A,1,1,1,145,203,348,946,1491,2437,124,180,304,80,45,15,0,1,0,0,0
College of the Redwoods,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,51,31,16,1,0,0,0,0
College of the Sequoias,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,45,31,1,0,0,0,0
College of the Siskiyous,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,55,12,13,1,0,0,0,0
College of Western Idaho,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,58,43,20,1,0,0,0,0
College of Wilmington,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,67,16,0,-2,-2,-2,-2
College Unbound,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,100,8,0,1,0,0,0
CollegeAmerica-Colorado Springs,1,3,-1,D,1,3,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
CollegeAmerica-Denver,1,3,-1,D,1,3,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
CollegeAmerica-Flagstaff,1,1,-2,M,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,4,1,0,0,0,0
CollegeAmerica-Fort Collins,1,3,-1,D,1,3,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Collin County Community College District,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,23,1,1,0,0,0
Compass Career College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,58,45,18,0,-2,-2,-2,-2
Colorado Academy of Veterinary Technology,1,1,-2,A,1,1,1,589,6,6,0,6,6,814,4,4,70,0,6,1,0,0,0,0
Colorado Christian University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,33,15,1,1,1,0,1
Colorado College,1,1,-2,A,1,1,1,555,840,1395,4019,6238,10257,231,308,539,86,45,9,0,1,1,0,0
Colorado Media School,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,45,13,0,-2,-2,-2,-2
Colorado Mesa University,1,1,-2,A,1,1,1,2731,3886,6636,3601,5167,8796,911,1053,1970,75,45,19,1,1,1,0,1
Concordia College,1,1,-2,A,1,1,1,223,526,749,236,550,786,35,28,63,52,45,11,1,1,1,0,0
Colorado Mountain College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,48,24,13,1,1,0,0,0
Colorado Northwestern Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,54,44,14,1,0,0,0,0
Colorado School of Healing Arts,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,7,0,-2,-2,-2,-2
Colorado School of Mines,1,1,-2,A,1,1,1,3959,2661,6620,8102,3942,12044,820,352,1172,92,100,17,0,1,1,1,0
Colorado School of Trades,1,1,-2,A,1,1,1,30,1,31,34,2,36,24,0,24,81,45,11,1,0,0,0,0
Colorado School of Traditional Chinese Medicine,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
Colorado State University Pueblo,1,1,-2,A,1,1,1,924,1133,2057,996,1185,2181,288,286,574,68,72,15,0,1,1,0,1
Colorado State University-Fort Collins,1,1,-2,A,1,1,1,9852,14239,24091,12095,16748,28843,1933,2646,4579,85,53,16,0,1,1,1,1
Colorado State University-Global Campus,1,1,-2,A,1,1,1,57,56,113,59,56,115,46,39,85,47,28,27,0,1,1,0,0
Colorado State University-System Office,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,1,1,1,1
Colorado Technical University-Colorado Springs,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,48,28,31,1,1,1,0,1
Columbia Basin College,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,17,1,1,0,0,0
Columbia Central University-Caguas,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,36,45,10,1,1,1,0,0
Columbia Central University-Yauco,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,8,1,1,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,1,1,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,0,0,0,0
Columbia College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,27,23,1,1,1,0,0
Columbia College - Eastfield Pleasant Grove,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Columbia College - Fort Leonard Wood 58th Trans BN,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Columbia College - Minot AFB,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Columbia College - Springfield TMobile,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Columbia College - Tavares PD,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Columbia College - USCG Base Honolulu,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Columbia College Chicago,1,1,-2,A,1,1,1,2637,4580,7217,3066,4995,8061,737,1089,1826,69,7,14,0,1,1,0,0
Columbia College Hollywood,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,51,25,12,1,1,0,0,0
Columbia College of Nursing,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,1,1,0,0
Columbia Gorge Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,54,27,12,1,0,0,0,0
Columbia International University,1,1,-2,A,1,1,1,116,111,227,215,233,448,92,80,172,69,45,15,1,1,1,1,1
Columbia Southern University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,62,38,39,1,1,1,1,0
Columbia State Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,57,48,20,1,0,0,0,0
Columbia Theological Seminary,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,1
Columbia University in the City of New York,1,1,-2,A,1,1,1,1276,1419,2695,18488,21974,40462,727,794,1521,95,87,6,0,1,1,1,1
Columbia-Greene Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,56,25,14,1,0,0,0,0
Columbiana County Career and Technical Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,45,17,0,-2,-2,-2,-2
Columbus College of Art and Design,1,1,-2,A,1,1,1,134,484,618,155,519,674,48,175,223,72,0,10,0,1,1,0,0
Columbus State Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,60,46,20,1,0,0,0,0
Columbus State University,1,1,-2,A,1,1,1,1470,2709,4179,1901,3435,5336,539,848,1387,75,49,17,1,1,1,1,0
Columbus Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,51,41,15,1,0,0,0,0
Commercial Divers International,1,1,-2,R,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,-2,-2,-2,-2
Commonwealth Institute of Funeral Service,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,39,45,40,1,0,0,0,0
Commonwealth Technical Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,45,6,1,0,0,0,0
Community Care College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,84,45,29,1,0,0,0,0
Community Christian College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,41,33,28,1,0,0,0,0
Community College of Allegheny County,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,57,40,18,1,0,0,0,0
Community College of Aurora,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,43,29,1,0,0,0,0
Community College of Baltimore County,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,40,16,1,0,0,0,0
Community College of Beaver County,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,44,15,1,0,0,0,0
Community College of Denver,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,19,1,1,0,0,0
Community College of Philadelphia,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,54,38,18,1,0,0,0,0
Community College of Rhode Island,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,56,37,20,1,0,0,0,0
Community College of Vermont,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,34,15,1,0,0,0,0
Community Technology Learning Center of Portage,1,1,-2,A,1,1,6,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,-2,-2,-2,-2
Compass College of Cinematic Arts,1,1,-2,A,1,1,1,10,3,13,27,34,61,8,3,11,73,45,9,1,1,0,0,0
Compton College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,42,25,16,1,0,0,0,0
Compu-Med Vocational Careers Corp,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,45,0,-2,-2,-2,-2
Conception Seminary College,1,1,-2,A,1,1,1,3,-347,3,3,0,3,3,17,3,75,45,4,0,1,0,0,0
Concord University,1,1,-2,A,1,1,1,663,835,1498,736,903,1639,169,214,383,64,17,16,0,1,1,0,0
Concorde Career College-Aurora,1,1,-2,A,1,1,1,10,92,102,10,98,108,6,58,64,94,45,10,1,0,0,0,0
Concorde Career College-Dallas,1,1,-2,A,1,1,1,31,176,207,33,186,219,16,98,114,89,45,26,1,0,0,0,0
Concorde Career College-Garden Grove,1,1,-2,A,1,1,1,51,227,278,51,234,285,27,114,141,89,45,18,1,0,0,0,0
Concorde Career College-Grand Prairie,1,1,-2,A,1,1,1,25,296,321,27,307,334,10,175,185,84,73,34,1,0,0,0,0
Concorde Career College-Kansas City,1,1,2,A,1,1,1,17,194,211,17,205,222,7,83,90,82,45,15,1,1,0,0,0
Concorde Career College-Memphis,1,1,-2,A,1,1,1,30,481,511,31,495,526,16,300,316,81,45,26,1,0,0,0,0
Concorde Career College-North Hollywood,1,1,-2,A,1,1,1,72,237,309,73,250,323,39,109,148,83,45,25,1,0,0,0,0
Concorde Career College-Portland,1,1,-2,A,1,1,1,35,231,266,39,255,294,14,121,135,88,45,27,1,0,0,0,0
Concorde Career College-San Antonio,1,1,-2,A,1,1,1,26,176,202,26,180,206,12,94,106,89,45,29,1,0,0,0,0
Concorde Career College-San Bernardino,1,1,-2,A,1,1,1,85,305,390,97,321,418,37,124,161,64,45,20,1,0,0,0,0
Concorde Career College-San Diego,1,1,-2,A,1,1,1,44,215,259,48,228,276,28,118,146,93,45,27,1,0,0,0,0
Concorde Career College-Southaven,1,1,-2,A,1,1,1,15,223,238,15,223,238,9,110,119,79,45,30,1,0,0,0,0
Concorde Career Institute-Jacksonville,1,1,-2,A,1,1,1,15,190,205,16,209,225,6,95,101,87,100,23,1,0,0,0,0
Concorde Career Institute-Miramar,1,1,-2,A,1,1,1,33,136,169,34,146,180,23,74,97,84,45,33,1,0,0,0,0
Concorde Career Institute-Orlando,1,1,-2,A,1,1,1,14,95,109,14,108,122,11,63,74,92,45,28,1,0,0,0,0
Concorde Career Institute-Tampa,1,1,-2,A,1,1,1,9,175,184,9,186,195,4,91,95,86,45,37,1,0,0,0,0
Concordia College at Moorhead,1,1,-2,A,1,1,1,933,1404,2337,1884,2140,4024,211,287,498,84,45,11,0,1,1,0,0
Concordia Seminary,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,0
Concordia Theological Seminary,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,0
Concordia University Texas,1,1,-2,A,1,1,1,497,809,1306,543,862,1405,104,122,226,65,100,12,0,1,1,1,0
Concordia University-Ann Arbor,1,1,-2,A,1,1,1,677,430,1107,1203,613,1816,135,118,253,68,45,10,1,1,1,0,0
Concordia University-Chicago,1,1,-2,A,1,1,1,1697,2062,3759,2216,2570,4786,144,122,266,71,45,12,1,1,1,1,0
Concordia University-Irvine,1,1,-2,A,1,1,1,848,1753,2601,1130,2197,3327,113,198,311,68,45,20,1,1,1,1,0
Concordia University-Nebraska,1,1,-2,A,1,1,1,1073,533,1606,1519,599,2118,168,161,329,79,45,14,0,1,1,0,0
Concordia University-Portland,1,3,-1,D,1,3,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Concordia University-Saint Paul,1,1,-2,A,1,1,1,638,1114,1752,1011,1543,2554,171,225,396,68,50,20,1,1,1,1,1
Concordia University-Wisconsin,1,1,-2,A,1,1,1,1108,1367,2475,1729,1780,3509,226,307,533,81,60,11,1,1,1,1,1
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,98,45,17,0,1,0,0,0
Connecticut College,1,1,-2,A,1,1,1,902,1694,2596,2814,4068,6882,173,261,434,87,45,9,0,1,0,0,0
Connors State College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,57,39,23,1,0,0,0,0
Conservatory of Music of Puerto Rico,1,1,-2,A,1,1,1,41,11,52,49,16,65,39,7,46,71,86,7,0,1,1,0,0
Conservatory of Recording Arts and Sciences,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,37,45,12,0,-2,-2,-2,-2
Construction Training Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,21,45,10,0,-2,-2,-2,-2
Continental Academie of Hair Design-Hudson,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,87,45,11,0,-2,-2,-2,-2
Continental School of Beauty Culture-Mattydale,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,80,20,0,-2,-2,-2,-2
Continental School of Beauty Culture-Olean,1,1,-2,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,-2,-2,-2,-2
Continental School of Beauty Culture-Rochester,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,67,20,0,-2,-2,-2,-2
Continental School of Beauty Culture-West Seneca,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,89,75,20,0,-2,-2,-2,-2
Contra Costa College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,65,31,21,1,0,0,0,0
Contra Costa Community College District Office,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,1,0,0,0,0
Contra Costa Medical Career College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,89,24,0,0,0,0,0
Converse College,1,1,-2,A,1,1,1,18,1400,1418,20,1700,1720,10,176,186,73,100,11,0,1,1,1,0
Conway School of Landscape Design,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
Cooper Union for the Advancement of Science and Art,1,1,-2,A,1,1,1,230,183,413,1223,1135,2358,119,89,208,85,45,8,0,1,1,0,0
Copiah-Lincoln Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,23,20,1,0,0,0,0
