institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
New York Film Academy,White,UnknownEthnicity,White
New York Institute of Beauty,White,Asian,White
New York Institute of Massage Inc,White,Asian,White
New York Institute of Technology,White,White,Asian
New York Law School,White,UnknownEthnicity,White
New York Medical Career Training Center,White,Asian,White
New York Medical College,White,White,White
New York School for Medical and Dental Assistants,White,Asian,White
New York School of Esthetics & Day Spa,White,Asian,White
New York School of Interior Design,White,White,White
New York Seminary,White,Asian,White
New York Theological Seminary,White,Black,White
New York University,White,White,White
Newberry College,White,Asian,White
Newberry School of Beauty,White,Asian,White
Newman University,White,White,White
Newschool of Architecture and Design,White,White,White
Northwestern College,White,White,White
Northwestern College,White,White,White
Northwestern College,White,White,White
Northwestern College,White,White,White
NHTI-Concord's Community College,White,Asian,White
Niagara County Community College,White,Asian,White
Niagara University,White,White,White
Nicholls State University,White,White,White
Nichols College,White,White,White
Nicolet Area Technical College,White,Asian,White
Nightingale College,White,Asian,White
No Grease Barber School,White,Asian,White
Norco College,White,Asian,White
Norfolk State University,Black,Black,Black
Normandale Community College,White,Asian,White
North Adrian's College of Beauty Inc,White,Asian,White
North American Trade Schools,White,Asian,White
North American University,White,White,White
North Arkansas College,White,Asian,White
North Bennet Street School,White,Asian,White
Nyack College,White,Hispanic,White
North Carolina A & T State University,Black,Black,Black
North Carolina Central University,Black,Black,Black
North Carolina State University at Raleigh,White,White,White
North Carolina Wesleyan College,White,White,White
North Central College,White,White,White
North Central Institute,White,Asian,White
North Central Kansas Technical College,White,Asian,White
North Central Michigan College,White,Asian,White
North Central Missouri College,White,Asian,White
North Central State College,Asian,Asian,White
North Central Texas College,White,Asian,White
North Central University,White,White,White
North Country Community College,White,Asian,White
North Dakota State College of Science,White,Asian,White
North Dakota State University-Main Campus,White,White,White
North Florida College,White,Asian,White
North Florida Cosmetology Institute,White,Asian,White
North Florida Technical College,White,Asian,White
North Georgia Technical College,White,Asian,White
North Greenville University,White,White,White
North Hennepin Community College,White,Asian,White
North Idaho College,White,Asian,White
North Iowa Area Community College,White,Asian,White
North Lake College,White,Asian,White
North Orange County Community College District,White,Asian,White
North Park University,White,White,White
North Seattle College,White,Asian,White
North Shore Community College,White,Asian,White
North-West College-Anaheim,White,Asian,White
North-West College-Glendale,White,Asian,White
North-West College-Long Beach,White,Asian,White
North-West College-Pomona,White,Asian,White
North-West College-Riverside,White,Asian,White
North-West College-Van Nuys,White,Asian,White
North-West College-West Covina,White,Asian,White
Northampton County Area Community College,White,Asian,White
Northcentral Technical College,White,Asian,White
Northcentral University,UnknownEthnicity,White,White
Northcoast Medical Training Academy,White,Asian,White
Northeast Alabama Community College,White,Asian,White
Northeast Community College,White,Asian,White
Northeast Iowa Community College,White,Asian,White
Northeast Lakeview College,White,Asian,White
Northeast Mississippi Community College,White,Asian,White
Northeast Ohio Medical University,White,White,White
Northeast State Community College,White,Asian,White
Northeast Technical Institute,White,Asian,White
Northeast Technology Center,White,Asian,White
Northeast Technology Center-Afton,White,Asian,White
Northeast Technology Center-Claremore,White,Asian,White
Northeast Technology Center-Kansas,White,Asian,White
Northeast Technology Center-Pryor,White,Asian,White
Northeast Texas Community College,White,Asian,White
Northeast Wisconsin Technical College,White,Asian,White
Northeastern Illinois University,White,White,White
Northeastern Junior College,White,Asian,White
Northeastern Oklahoma A&M College,White,Asian,White
Northeastern Seminary,White,White,White
Northeastern State University,White,White,White
Northeastern Technical College,White,Asian,White
Northeastern University,White,White,White
Northeastern University Lifelong Learning Network,White,White,White
Northern Arizona University,White,White,White
Northern Baptist Theological Seminary,White,White,White
Northern Career Institute,White,Asian,White
Northern Essex Community College,White,Asian,White
Northern Illinois University,White,White,White
Northern Institute of Cosmetology,White,Asian,White
Northern Kentucky University,White,White,White
Northern Maine Community College,White,Asian,White
Northern Marianas College,Asian,Asian,White
Northern Michigan University,White,White,White
Northern New Mexico College,Hispanic,Asian,White
Northern Oklahoma College,White,Asian,White
Northern Pennsylvania Regional College,White,Asian,White
Northern State University,White,White,White
Northern Technical College,White,Asian,White
Northern Tier Career Center,White,Asian,White
Northern Vermont University,White,White,White
Northern Virginia Community College,White,Asian,White
Northern Virginia School of Therapeutic Massage,White,Asian,White
Northern Wyoming Community College District,White,Asian,White
Northland College,White,Asian,White
Northland Community and Technical College,White,Asian,White
Northland Pioneer College,White,Asian,White
Northpoint Bible College,White,White,White
Northshore Technical Community College,White,Asian,White
NorthShore University HealthSystem School of Nurse Anesthesia,White,Asian,White
NorthWest Arkansas Community College,White,Asian,White
Northwest Career College,White,Asian,White
Northwest College,White,Asian,White
Northwest College of Art & Design,White,Asian,White
Northwest College-Beaverton,White,Asian,White
Northwest College-Clackamas,White,Asian,White
Northwest College-Eugene,White,Asian,White
Northwest College-Hillsboro,White,Asian,White
Northwest College-Medford,White,Asian,White
Northwest College-Tualatin,White,Asian,White
Northwest Educational Center,White,Asian,White
Northwest Florida State College,White,Asian,White
Northwest HVAC/R Training Center,White,Asian,White
Northwest Indian College,NativeAmerican,Asian,White
Northwest Iowa Community College,White,Asian,White
Northwest Kansas Technical College,White,Asian,White
Northwest Louisiana Technical Community College,White,Asian,White
Northwest Mississippi Community College,White,Asian,White
Northwest Missouri State University,White,White,White
Northwest Nazarene University,White,White,White
Northwest School of Wooden Boat Building,White,Asian,White
Northwest State Community College,White,Asian,White
Northwest Technical College,White,Asian,White
Northwest Technical Institute,White,Asian,White
Northwest Technology Center-Alva,White,Asian,White
Northwest University,White,White,White
Northwest University-College of Adult and Professional Studies,White,White,White
Northwest Vista College,White,Asian,White
Northwest-Shoals Community College,White,Asian,White
Northwestern College,White,Asian,White
Northwestern College,White,Asian,White
Northwestern College,White,Asian,White
Northwestern College,White,Asian,White
Northwestern Connecticut Community College,White,Asian,White
Northwestern Health Sciences University,UnknownEthnicity,White,White
Northwestern Michigan College,White,Asian,White
Northwestern Oklahoma State University,White,White,White
Northwestern Polytechnic University,Asian,Asian,White
Northwestern State University of Louisiana,White,White,Asian
Northwestern Technological Institute,White,Asian,White
Northwestern University,White,White,White
Northwood University,White,White,White
Norwalk Community College,White,Asian,White
Norwich University,White,White,White
Nossi College of Art,White,Asian,White
Notre Dame College,White,White,White
Notre Dame de Namur University,Hispanic,White,White
Ocean Corporation,White,Asian,White
Notre Dame of Maryland University,White,White,White
Nouvelle Institute,White,Asian,White
Nova Academy of Cosmetology,White,Asian,White
Nova College de Puerto Rico,White,Asian,White
Nova Southeastern University,Hispanic,White,White
NTMA Training Centers of Southern California,White,Asian,White
NUC University,Hispanic,Hispanic,White
NUC University - Florida Technical College - Cutler Bay,White,Asian,White
NUC University - Florida Technical College - Deland,White,Asian,White
NUC University - Florida Technical College - Kissimmee,White,Asian,White
NUC University - Florida Technical College - Lakeland,White,Asian,White
NUC University - Florida Technical College - Orlando,White,Asian,White
NUC University - Florida Technical College - Pembroke Pines,White,Asian,White
NUC University - IBC Institute - Aguadilla,White,Asian,White
NUC University - IBC Institute - Arecibo,White,Asian,White
NUC University - IBC Institute - Bayam?n,White,Asian,White
NUC University - IBC Institute - Caguas,White,Asian,White
NUC University - IBC Institute - Escorial,White,Asian,White
NUC University - IBC Institute - Fajardo,White,Asian,White
NUC University - IBC Institute - Guayama,White,Asian,White
NUC University - IBC Institute - Los Colobos,White,Asian,White
NUC University - IBC Institute - Manat?,White,Asian,White
NUC University - IBC Institute - Mayag?ez,White,Asian,White
NUC University - IBC Institute - Moca,White,Asian,White
NUC University - IBC Institute - Ponce,White,Asian,White
NUC University - IBC Institute - Yauco,White,Asian,White
Nueta Hidatsa Sahnish College,NativeAmerican,Asian,White
Nunez Community College,White,Asian,White
Nuvani Institute,White,Asian,White
Nuvani Institute,White,Asian,White
Nuvani Institute,White,Asian,White
Nuvani Institute,White,Asian,White
Nuvani Institute,White,Asian,White
Nuvani Institute,White,Asian,White
Nuvani Institute,White,Asian,White
Nuvani Institute,White,Asian,White
Nuvo College of Cosmetology,White,Asian,White
O C Collins Career Center,White,Asian,White
O'Briens Aveda Institute,White,Asian,White
Oak Hills Christian College,White,Asian,White
Oak Valley College,Hispanic,Asian,White
Oakland City University,White,White,White
Oakland Community College,White,Asian,White
Oakland University,White,White,White
Oakton Community College,White,Asian,White
Oakwood University,Black,Black,White
Oberlin College,White,White,White
Oblate School of Theology,White,White,White
Occidental College,White,Asian,White
Ocean County College,White,Asian,White
Ocean County Vocational-Technical School,White,Asian,White
Oconee Fall Line Technical College,White,Asian,White
Odessa College,White,Asian,White
Oehrlein School of Cosmetology,White,Asian,White
Ogden-Weber Technical College,White,Asian,White
Ogeechee Technical College,White,Asian,White
Oglala Lakota College,NativeAmerican,NativeAmerican,White
Ogle School Hair Skin Nails-Arlington,White,Asian,White
Ogle School Hair Skin Nails-Dallas,White,Asian,White
Ogle School Hair Skin Nails-Denton,White,Asian,White
Ogle School Hair Skin Nails-Ft Worth,White,Asian,White
Ogle School Hair Skin Nails-Hurst,White,Asian,White
Ogle School Hair Skin Nails-North Dallas,White,Asian,White
Ogle School Hair Skin Nails-San Antonio,White,Asian,White
Ogle School Hair Skin Nails-Stafford,White,Asian,White
Oglethorpe University,White,Asian,White
Ohel Margulia Seminary,White,Asian,White
Ohio Business College-Sandusky,White,Asian,White
Ohio Business College-Sheffield,White,Asian,White
Ohio Christian University,White,White,White
Ohio Dominican University,White,White,White
Ohio Institute of Allied Health,White,Asian,White
Ohio Media School-Cincinnati,White,Asian,White
Ohio Media School-Columbus,White,Asian,White
Pacific College,Hispanic,Asian,White
Ohio Media School-Valley View,White,Asian,White
Ohio Medical Career College,White,Asian,White
Ohio Northern University,White,White,White
Ohio State Beauty Academy,White,Asian,White
Ohio State College of Barber Styling,White,Asian,White
Paine College,Black,Asian,White
Ohio State School of Cosmetology-Canal Winchester,White,Asian,White
Ohio State School of Cosmetology-Heath,White,Asian,White
Ohio State University Agricultural Technical Institute,White,Asian,White
Ohio State University-Lima Campus,White,Asian,White
Ohio State University-Main Campus,White,White,White
Ohio State University-Mansfield Campus,White,Asian,White
Ohio State University-Marion Campus,White,Asian,White
Ohio State University-Newark Campus,White,Asian,White
Ohio Technical College,White,Asian,White
Ohio University-Chillicothe Campus,Asian,Asian,White
Ohio University-Eastern Campus,Asian,Asian,White
Ohio University-Lancaster Campus,Asian,Asian,White
Ohio University-Main Campus,White,White,White
Ohio University-Southern Campus,Asian,Asian,White
Ohio University-Zanesville Campus,Asian,Asian,White
Ohio Valley College of Technology,White,Asian,White
Ohio Valley University,White,White,White
Ohio Wesleyan University,White,Asian,White
Ohlone College,White,Asian,White
Ohr Hameir Theological Seminary,Asian,Asian,White
Okaloosa Technical College,White,Asian,White
Oklahoma Baptist University,White,White,White
Oklahoma Christian University,White,White,White
Oklahoma City Community College,White,Asian,White
Oklahoma City University,White,White,White
Oklahoma Panhandle State University,White,Asian,White
Oklahoma State University Center for Health Sciences,White,White,White
Oklahoma State University Institute of Technology,White,Asian,White
Oklahoma State University-Main Campus,White,White,White
Oklahoma State University-Oklahoma City,White,Asian,White
Oklahoma Technical College,White,Asian,White
Oklahoma Wesleyan University,White,White,White
Old Dominion University,White,White,White
Old Town Barber College-Wichita,White,Asian,White
Oliver Finley Academy of Cosmetology,White,Asian,White
Olivet College,White,White,White
Olivet Nazarene University,White,White,White
Olney Central College,White,Asian,White
Olympian Academy of Cosmetology,White,Asian,White
Olympic College,White,Asian,White
Omega Graduate School,White,White,White
Omega Institute of Cosmetology,White,Asian,White
Omega Studios' School of Applied Recording Arts & Sciences,White,Asian,White
Omnitech Institute,White,Asian,White
Onondaga Community College,White,Asian,White
Onondaga Cortland Madison BOCES,White,Asian,White
Onondaga School of Therapeutic Massage-Rochester,White,Asian,White
Onondaga School of Therapeutic Massage-Syracuse,White,Asian,White
Opelousas School of Cosmetology,White,Asian,White
Oral Roberts University,White,White,White
Orange Coast College,White,Asian,White
Orange County Community College,White,Asian,White
Orange Technical College-Mid Florida Campus,White,Asian,White
Orange Technical College-Orlando Campus,White,Asian,White
Orange Technical College-Westside Campus,White,Asian,White
Orange Technical College-Winter Park Campus,White,Asian,White
Orange Ulster BOCES-Practical Nursing Program,White,Asian,White
Orangeburg Calhoun Technical College,White,Asian,White
Oregon Coast Community College,White,Asian,White
Oregon College of Oriental Medicine,White,White,White
Oregon Health & Science University,White,White,White
Oregon Institute of Technology,White,White,White
Oregon State University,White,White,White
Oregon State University-Cascades Campus,White,Asian,White
Orion Institute,White,Asian,White
Orleans Niagara BOCES-Practical Nursing Program,White,Asian,White
Orleans Technical College,White,Asian,White
Orlo School of Hair Design and Cosmetology,White,Asian,White
Osceola Technical College,White,Asian,White
Otero Junior College,White,Asian,White
Otis College of Art and Design,White,White,White
Otsego Area BOCES-Practical Nursing Program,White,Asian,White
Ottawa University-Kansas City,White,Asian,White
Ottawa University-Milwaukee,White,White,White
Ottawa University-Online,White,White,White
Ottawa University-Ottawa,White,White,White
Ottawa University-Phoenix,White,Asian,White
Ottawa University-Surprise,White,White,White
Otterbein University,White,White,White
Ouachita Baptist University,White,Asian,White
Our Lady of the Lake University,Hispanic,Hispanic,Hispanic
Owens Community College,White,Asian,White
Owensboro Community and Technical College,White,Asian,White
Oxford Academy of Hair Design Inc,White,Asian,White
Oxnard College,White,Asian,White
Ozark Christian College,White,Asian,White
Ozarka College,White,Asian,White
Ozarks Technical Community College,White,Asian,White
P B Cosmetology Education Center,White,Asian,White
P C Age-Jersey City,White,Asian,White
P&A Scholars Beauty School,White,Asian,White
Pace University,White,White,White
Pacific Bible College,Asian,Asian,White
Pacific College of Health and Science,White,White,White
Pacific College of Health Science-Chicago,White,White,White
Pacific College of Oriental Medicine-New York,UnknownEthnicity,White,White
Pacific Islands University,PacificIslander,Asian,White
Pacific Lutheran University,White,White,White
Pacific Northwest College of Art,White,White,White
Pacific Northwest University of Health Sciences,White,Asian,White
Pacific Oaks College,Hispanic,Hispanic,White
Pacific Rim Christian University,White,White,White
Pacific School of Religion,White,White,White
Pacific States University,Asian,Asian,Asian
Pacific Union College,Hispanic,Asian,White
Pacific University,White,White,White
Pacifica Graduate Institute,White,White,White
Paier College of Art Inc,White,Asian,White
Palace Beauty College,White,Asian,White
Palau Community College,White,Asian,White
Palladium Technical Academy Inc,White,Asian,White
Palm Beach Academy of Health & Beauty,White,Asian,White
Palm Beach Atlantic University,White,White,White
Palm Beach State College,White,Asian,White
Palmer College of Chiropractic,White,Asian,White
Palmetto Beauty School,White,Asian,White
Palo Alto College,White,Asian,White
Palo Alto University,UnknownEthnicity,White,White
Palo Verde College,White,Asian,White
Palomar College,White,Asian,White
Palomar Institute of Cosmetology,White,Asian,White
Pamlico Community College,White,Asian,White
Panache Academy of Beauty,White,Asian,White
Panola College,White,Asian,White
Paradise Valley Community College,White,Asian,White
Paramount Beauty Academy,White,Asian,White
Pardee RAND Graduate School,White,White,White
Paris Junior College,White,Asian,White
Parisian Beauty School,White,Asian,White
Parisian Spa Institute,White,Asian,White
Peirce College,Black,Black,White
Park Place Premier Barber School,White,Asian,White
Park University,White,White,White
Parker University,White,White,White
Parkland College,White,Asian,White
Paroba College of Cosmetology,White,Asian,White
Pasadena City College,White,Asian,White
Pasco-Hernando State College,White,Asian,White
Passaic County Community College,White,Asian,White
Pat Goins Benton Road Beauty School,White,Asian,White
Pathway Vocational Academy,White,Asian,White
Pathways College,Asian,Asian,White
Patrick Henry College,White,Asian,White
Patrick Henry Community College,White,Asian,White
Paul D Camp Community College,White,Asian,White
Paul Mitchell the School-Ardmore,White,Asian,White
Paul Mitchell the School-Arkansas,White,Asian,White
Paul Mitchell the School-Arlington,White,Asian,White
Paul Mitchell the School-Atlanta,White,Asian,White
Paul Mitchell the School-Austin,White,Asian,White
Paul Mitchell the School-Birmingham,White,Asian,White
Paul Mitchell the School-Boise,White,Asian,White
Paul Mitchell the School-Bradley,White,Asian,White
Paul Mitchell the School-Charleston,White,Asian,White
Paul Mitchell the School-Chicago,White,Asian,White
Paul Mitchell the School-Cincinnati,White,Asian,White
Paul Mitchell the School-Clear Lake,White,Asian,White
Paul Mitchell the School-Cleveland,White,Asian,White
Paul Mitchell the School-Colorado Springs,White,Asian,White
Paul Mitchell the School-Columbia,White,Asian,White
Paul Mitchell the School-Columbus,White,Asian,White
Paul Mitchell the School-Costa Mesa,White,Asian,White
Paul Mitchell the School-Delaware,White,Asian,White
Paul Mitchell the School-Denver,White,Asian,White
Paul Mitchell the School-East Bay,White,Asian,White
Paul Mitchell the School-Esani,White,Asian,White
Paul Mitchell The School-Farmington Hills,White,Asian,White
Paul Mitchell the School-Fayetteville,White,Asian,White
Paul Mitchell the School-Fort Lauderdale,White,Asian,White
Paul Mitchell the School-Fort Myers,White,Asian,White
Paul Mitchell the School-Fresno,White,Asian,White
Paul Mitchell the School-Gastonia,White,Asian,White
Paul Mitchell the School-Grand Rapids,White,Asian,White
Paul Mitchell the School-Great Lakes,White,Asian,White
Paul Mitchell the School-Greenville,White,Asian,White
Paul Mitchell the School-Honolulu,White,Asian,White
Paul Mitchell the School-Houston,White,Asian,White
Paul Mitchell the School-Huntsville,White,Asian,White
Paul Mitchell the School-Indianapolis,White,Asian,White
Paul Mitchell the School-Jacksonville,White,Asian,White
Paul Mitchell the School-Jersey Shore,White,Asian,White
Paul Mitchell the School-Jessup,White,Asian,White
Paul Mitchell the School-Knoxville,White,Asian,White
Paul Mitchell the School-Las Vegas,White,Asian,White
Paul Mitchell the School-Lexington,White,Asian,White
Paul Mitchell the School-Little Rock,White,Asian,White
Paul Mitchell the School-Logan,White,Asian,White
Paul Mitchell the School-Lombard,White,Asian,White
Paul Mitchell the School-Louisville,White,Asian,White
Paul Mitchell the School-Madison,White,Asian,White
Paul Mitchell the School-Memphis,White,Asian,White
Paul Mitchell the School-Merrillville,White,Asian,White
Paul Mitchell the School-Miami,White,Asian,White
Paul Mitchell the School-Michigan,White,Asian,White
Paul Mitchell the School-Milwaukee,White,Asian,White
Paul Mitchell the School-Missouri Columbia,White,Asian,White
Paul Mitchell the School-Modesto,White,Asian,White
Paul Mitchell the School-Murfreesboro,White,Asian,White
Paul Mitchell the School-Murfreesboro-Nashville,White,Asian,White
Paul Mitchell the School-Nampa,White,Asian,White
Paul Mitchell the School-Normal,White,Asian,White
Paul Mitchell the School-North Haven,White,Asian,White
Paul Mitchell the School-Ogden,White,Asian,White
Paul Mitchell the School-Orlando,White,Asian,White
Paul Mitchell the School-Overland Park,White,Asian,White
Paul Mitchell the School-Pasadena,White,Asian,White
Paul Mitchell the School-Phoenix,White,Asian,White
Paul Mitchell the School-Portland,White,Asian,White
Paul Mitchell the School-Portsmouth,White,Asian,White
Paul Mitchell the School-Provo,White,Asian,White
Paul Mitchell the School-Raleigh,White,Asian,White
Paul Mitchell the School-Reno,White,Asian,White
Paul Mitchell the School-Reno-North Tahoe,White,Asian,White
Paul Mitchell the School-Rexburg,White,Asian,White
Paul Mitchell the School-Rhode Island,White,Asian,White
Paul Mitchell the School-Richland,White,Asian,White
Paul Mitchell the School-Richland-Provo,White,Asian,White
Paul Mitchell the School-Roanoke,White,Asian,White
Paul Mitchell the School-Sacramento,White,Asian,White
Paul Mitchell the School-Salt Lake City,White,Asian,White
Paul Mitchell the School-San Antonio,White,Asian,White
Paul Mitchell the School-San Diego,White,Asian,White
Paul Mitchell the School-San Jose,White,Asian,White
Paul Mitchell the School-San Jose,White,Asian,White
Paul Mitchell the School-San Jose,White,Asian,White
Paul Mitchell the School-San Jose,White,Asian,White
Paul Mitchell the School-San Jose,White,Asian,White
Paul Mitchell the School-San Jose,White,Asian,White
Paul Mitchell the School-San Jose,White,Asian,White
Paul Mitchell the School-San Jose,White,Asian,White
Paul Mitchell the School-Schenectady,White,Asian,White
Paul Mitchell the School-Sherman Oaks,White,Asian,White
Paul Mitchell the School-Spokane,White,Asian,White
Paul Mitchell the School-Springfield,White,Asian,White
Paul Mitchell the School-St Louis,White,Asian,White
Paul Mitchell the School-St. George,White,Asian,White
Paul Mitchell the School-Tampa,White,Asian,White
Paul Mitchell the School-Temecula,White,Asian,White
Paul Mitchell the School-Toledo,White,Asian,White
Paul Mitchell the School-Tulsa,White,Asian,White
Paul Mitchell the School-Twin Falls,White,Asian,White
Paul Mitchell the School-Tysons Corner,White,Asian,White
Paul Mitchell the School-Wichita,White,Asian,White
Paul Mitchell the School-Woodbridge,White,Asian,White
Paul Quinn College,Black,Asian,White
Paul Smiths College of Arts and Science,White,Asian,White
Payne Theological Seminary,White,Black,White
PC AGE-Metropark,White,Asian,White
PCI Academy-Ames,White,Asian,White
PCI Academy-Iowa City,White,Asian,White
PCI Academy-Plymouth,White,Asian,White
PCI College,Hispanic,Asian,White
PCI Health Training Center,White,Asian,White
Pearl River Community College,White,Asian,White
Pearlands Innovative School of Beauty,White,Asian,White
Pellissippi State Community College,White,Asian,White
Peloton College,White,Asian,White
Peloton College,White,Asian,White
Peloton College,White,Asian,White
Peloton College,White,Asian,White
Peloton College,White,Asian,White
Peloton College,White,Asian,White
Peloton College,White,Asian,White
Peloton College,White,Asian,White
Peninsula College,White,Asian,White
Penn Commercial Business/Technical School,White,Asian,White
Pennco Tech-Blackwood,White,Asian,White
Pennco Tech-Bristol,White,Asian,White
Pennsylvania Academy of the Fine Arts,White,White,White
Pennsylvania College of Art and Design,White,Asian,White
Pennsylvania College of Health Sciences,White,White,White
Pennsylvania College of Technology,White,Asian,White
Pennsylvania Gunsmith School,White,Asian,White
Pennsylvania Highlands Community College,White,Asian,White
Pennsylvania Institute of Technology,White,Asian,White
Pennsylvania State System of Higher Education-Central Office,White,Asian,White
Pennsylvania State University-College of Medicine,White,Asian,White
Pennsylvania State University-Dickinson Law,White,Asian,White
Pennsylvania State University-Main Campus,White,Asian,White
Pennsylvania State University-Penn State Abington,White,Asian,White
Pennsylvania State University-Penn State Altoona,White,Asian,White
Pennsylvania State University-Penn State Beaver,White,Asian,White
Pennsylvania State University-Penn State Berks,White,Asian,White
Pennsylvania State University-Penn State Brandywine,White,Asian,White
Pennsylvania State University-Penn State DuBois,White,Asian,White
Pennsylvania State University-Penn State Erie-Behrend College,White,Asian,White
Pennsylvania State University-Penn State Fayette- Eberly,White,Asian,White
Pennsylvania State University-Penn State Great Valley,White,Asian,White
Pennsylvania State University-Penn State Greater Allegheny,White,Asian,White
Pennsylvania State University-Penn State Harrisburg,White,Asian,White
Pennsylvania State University-Penn State Hazleton,White,Asian,White
Pennsylvania State University-Penn State Lehigh Valley,White,Asian,White
Pennsylvania State University-Penn State Mont Alto,White,Asian,White
Pennsylvania State University-Penn State New Kensington,White,Asian,White
Pennsylvania State University-Penn State Schuylkill,White,Asian,White
Pennsylvania State University-Penn State Scranton,White,Asian,White
Pennsylvania State University-Penn State Shenango,White,Asian,White
Pennsylvania State University-Penn State Wilkes-Barre,White,Asian,White
Pennsylvania State University-Penn State York,White,Asian,White
Pennsylvania State University-World Campus,White,Asian,White
Penrose Academy,White,Asian,White
Pensacola School of Massage Therapy & Health Careers,White,Asian,White
Pensacola State College,White,Asian,White
Penta County Joint Vocational School,White,Asian,White
Pentecostal Theological Seminary,White,White,White
Pepperdine University,White,White,White
Peralta Community College System Office,White,Asian,White
Perry Technical Institute,White,Asian,White
Peru State College,White,White,White
Pets Playground Grooming School,White,Asian,White
Pfeiffer University,White,White,White
Phagans Beauty College,White,Asian,White
Phagans Central Oregon Beauty College,White,Asian,White
Phagans Grants Pass College of Beauty,White,Asian,White
Phagans Medford Beauty School,White,Asian,White
Phagans School of Beauty,White,Asian,White
Phagans School of Hair Design,White,Asian,White
Philadelphia College of Osteopathic Medicine,White,White,White
Philadelphia Technician Training,White,Asian,White
Philander Smith College,Black,Asian,White
Phillips Community College of the University of Arkansas,White,Asian,White
Phillips School of Nursing at Mount Sinai Beth Israel,White,Asian,White
Phillips Theological Seminary,White,White,White
Phipps Academy of Barbering,White,Asian,White
Phoenix College,White,Asian,White
Phoenix Institute of Herbal Medicine & Acupuncture,White,White,White
Phoenix Seminary,White,White,White
PiBerry Institute,White,Asian,White
Pickaway Ross Joint Vocational School District,White,Asian,White
Pickens Technical College,White,Asian,White
Piedmont Community College,White,Asian,White
Piedmont Technical College,White,Asian,White
Piedmont University,White,White,White
Piedmont Virginia Community College,White,Asian,White
Pierce College District,White,Asian,White
Pierce College-Puyallup,White,Asian,White
Pierpont Community and Technical College,White,Asian,White
Pike County Joint Vocational School District,White,Asian,White
Pike-Lincoln Technical Center,White,Asian,White
Pikes Peak Community College,White,Asian,White
Pillar College,Black,Black,White
Pima Community College,White,Asian,White
Pima Medical Institute-Albuquerque,White,Asian,White
Pioneer Pacific College,White,Asian,White
Pima Medical Institute-Albuquerque West,White,Asian,White
Pima Medical Institute-Aurora,White,Asian,White
Pima Medical Institute-Chula Vista,White,Asian,White
Pima Medical Institute-Colorado Springs,White,Asian,White
Pima Medical Institute-Denver,White,Asian,White
Pima Medical Institute-Dillon,White,Asian,White
Pima Medical Institute-East Valley,White,Asian,White
Pima Medical Institute-El Paso,White,Asian,White
Pima Medical Institute-Houston,White,Asian,White
Pima Medical Institute-Las Vegas,White,Asian,White
Pima Medical Institute-Mesa,White,Asian,White
Pima Medical Institute-Phoenix,White,Asian,White
Pima Medical Institute-Renton,White,Asian,White
Pima Medical Institute-San Antonio,White,Asian,White
Pima Medical Institute-San Marcos,White,Asian,White
Pima Medical Institute-Seattle,White,Asian,White
Pima Medical Institute-Tucson,White,Asian,White
Pine Manor College,Black,White,White
Pine Technical & Community College,White,Asian,White
Pinellas Technical College-Clearwater,White,Asian,White
Pinellas Technical College-St. Petersburg,White,Asian,White
Pineville Beauty School,White,Asian,White
Pinnacle Career Institute-South Kansas City,White,Asian,White
Pinnacle Institute of Cosmetology,White,Asian,White
Pioneer Career and Technology Center,White,Asian,White
Pioneer Technology Center,White,Asian,White
Pipo Academy of Hair Design,White,Asian,White
PITC Institute,White,Asian,White
Pitt Community College,White,Asian,White
Pittsburg State University,White,White,White
Pittsburgh Career Institute,White,Asian,White
Pittsburgh Institute of Aeronautics,White,Asian,White
Pittsburgh Institute of Mortuary Science Inc,White,Asian,White
Pittsburgh Technical College,White,Asian,White
Pittsburgh Theological Seminary,White,White,White
Pitzer College,White,Asian,White
Pivot Point Academy,White,Asian,White
PJ's College of Cosmetology-Bowling Green,White,Asian,White
PJ's College of Cosmetology-Clarksville,White,Asian,White
PJ's College of Cosmetology-Glasgow,White,Asian,White
PJ's College of Cosmetology-Richmond,White,Asian,White
Platt College,White,Asian,White
Platt College-Anaheim,White,Asian,White
Platt College-Arizona Automotive Institute Arizona,White,Asian,White
Platt College-Aurora,White,Asian,White
Platt College-Berks Technical Institute,White,Asian,White
Platt College-Edge Tech Academy,White,Asian,White
Platt College-Lawton,White,Asian,White
Platt College-Los Angeles,Hispanic,Asian,White
Platt College-McCann-Allentown,White,Asian,White
Platt College-McCann-Lewisburg,White,Asian,White
Platt College-San Diego,White,Asian,White
Platt College-McCann-Monroe,White,Asian,White
Platt College-Miller-Motte College-Chattanooga 2,White,Asian,White
Platt College-Miller-Motte Technical-Augusta,White,Asian,White
Platt College-Miller-Motte Technical-Charleston,White,Asian,White
Platt College-Miller-Motte Technical-Chattanooga,White,Asian,White
Platt College-Miller-Motte Technical-Columbus,White,Asian,White
Platt College-Miller-Motte Technical-Conway,White,Asian,White
Platt College-Miller-Motte Technical-Macon,White,Asian,White
Platt College-Miller-Motte-Fayetteville,White,Asian,White
Platt College-Miller-Motte-Jacksonville,White,Asian,White
Platt College-Miller-Motte-Raleigh,White,Asian,White
Platt College-Miller-Motte-Wilmington,Black,Asian,White
Platt College-Moore,White,Asian,White
Platt College-OKC-Memorial,White,Asian,White
Platt College-Ontario,Hispanic,Asian,White
Platt College-Riverside,Hispanic,Asian,White
