institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
Applied Technology Services,White,Asian,White
Aquinas College,White,White,White
Aquinas Institute of Theology,White,White,Asian
Arapahoe Community College,Asian,Asian,White
Arcadia University,White,White,White
Arclabs,White,Asian,White
Arizona Academy of Beauty-East,White,Asian,White
Arizona Board of Regents,White,Asian,White
Arizona Christian University,White,Asian,White
Arizona College of Nursing-Tucson,Asian,Asian,White
Arizona College of Nursing-Fort Lauderdale,Asian,Asian,White
Arizona College of Nursing-Las Vegas,White,Asian,White
Arizona College of Nursing-Phoenix,Asian,Asian,White
Arizona College of Nursing-Tampa,Asian,Asian,White
Arizona College of Nursing-Tempe,White,Asian,White
Arizona College-Dallas,Asian,Asian,White
Arizona College-Glendale,White,Asian,White
Arizona College-Mesa,White,Asian,White
Arizona Culinary Institute,White,Asian,White
Arizona School of Acupuncture and Oriental Medicine,White,White,White
Arnolds Beauty School,White,Asian,White
Arizona School of Integrative Studies,White,Asian,White
Arizona State University - Washington Center,White,Asian,White
Arizona State University Campus Immersion,White,White,White
Arizona State University Digital Immersion,White,White,White
Arizona State University-Downtown Phoenix,White,Asian,White
Arizona State University-Polytechnic,White,Asian,White
Arizona State University-West,White,Asian,White
Arizona Western College,White,Asian,White
Arkansas Baptist College,Black,Asian,White
Arkansas Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arkansas Beauty School-Little Rock,White,Asian,White
Arkansas College of Barbering and Hair Design,White,Asian,White
Arkansas Colleges of Health Education,White,White,White
Arkansas Northeastern College,White,Asian,White
Arkansas State University,White,White,White
Arkansas State University Mid-South,White,Asian,White
Arkansas State University System,White,Asian,White
Arkansas State University Three Rivers,White,Asian,White
Arkansas State University-Beebe,White,Asian,White
Arkansas State University-Mountain Home,White,Asian,White
Arkansas State University-Newport,White,Asian,White
Arkansas Tech University,White,White,White
Arkansas Welding Academy,White,Asian,White
Arlington Baptist University,White,White,White
Arlington Career Institute,White,Asian,White
Arnot Ogden Medical Center,White,Asian,White
Arrojo Cosmetology School,White,Asian,White
Art Academy of Cincinnati,White,White,White
Art Center College of Design,Asian,White,White
