institution,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
American Academy of Dramatic Arts-Los Angeles,455,625,502,661,22,22,23,27,22,24
American Academy of Dramatic Arts-New York,455,625,502,661,22,22,23,27,22,24
American Academy of Health and Beauty,455,625,502,661,22,22,23,27,22,24
American Advanced Technicians Institute,455,625,502,661,22,22,23,27,22,24
American Baptist College,455,625,502,661,22,22,23,27,22,24
American Barber and Beauty Academy,455,625,502,661,22,22,23,27,22,24
American Beauty Academy,455,625,502,661,22,22,23,27,22,24
American Beauty Academy-West Valley Campus,455,625,502,661,22,22,23,27,22,24
American Beauty College,455,625,502,661,22,22,23,27,22,24
American Beauty School,455,625,502,661,22,22,23,27,22,24
American Beauty Schools,455,625,502,661,22,22,23,27,22,24
American Business and Technology University,455,625,502,661,22,22,23,27,22,24
American Career College-Anaheim,455,625,502,661,22,22,23,27,22,24
American Career College-Los Angeles,455,625,502,661,22,22,23,27,22,24
American Career College-Ontario,455,625,502,661,22,22,23,27,22,24
American College for Medical Careers,455,625,502,661,22,22,23,27,22,24
American College of Acupuncture and Oriental Med,455,625,502,661,22,22,23,27,22,24
American College of Barbering,455,625,502,661,22,22,23,27,22,24
American College of Barbering - Murfreesboro TN,455,625,502,661,22,22,23,27,22,24
American College of Education,455,625,502,661,22,22,23,27,22,24
American College of Financial Services,455,625,502,661,22,22,23,27,22,24
American College of Hair Design Inc,455,625,502,661,22,22,23,27,22,24
American College of Hairstyling-Des Moines,455,625,502,661,22,22,23,27,22,24
American College of Healthcare and Technology,455,625,502,661,22,22,23,27,22,24
American College of Healthcare and Technology,455,625,502,661,22,22,23,27,22,24
American College of Healthcare and Technology,455,625,502,661,22,22,23,27,22,24
American College of Healthcare and Technology,455,625,502,661,22,22,23,27,22,24
American College of Healthcare and Technology,455,625,502,661,22,22,23,27,22,24
American College of Healthcare and Technology,455,625,502,661,22,22,23,27,22,24
American College of Healthcare and Technology,455,625,502,661,22,22,23,27,22,24
American College of Healthcare and Technology,455,625,502,661,22,22,23,27,22,24
American College of Healthcare Sciences,455,625,502,661,22,22,23,27,22,24
American College of the Building Arts,528,593,468,633,19,29,19,29,18,28
American Conservatory Theater,455,625,502,661,22,22,23,27,22,24
American Educational College,455,625,502,661,22,22,23,27,22,24
