institution,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff
Minneapolis College of Art and Design,19,9,4,0,0,MN,1,2,2,2,11,1,54,63,63,17,63,77,0,0,33
Minnesota State University Moorhead,106,46,52,5,0,MN,1,1,2,2,22,3,34,51,55,27,55,240,0,0,65
Minnesota State University-Mankato,182,151,150,11,0,MN,1,1,2,2,13,4,28,45,50,34,51,561,0,0,178
Minot State University,33,29,60,22,0,ND,1,1,2,2,33,2,36,50,55,22,55,176,21,6,54
MiraCosta College,0,0,0,180,0,CA,1,1,2,2,21,4,22,34,71,13,36,355,0,0,57
Mirrer Yeshiva Cent Institute,3,4,3,0,6,NY,1,2,2,2,11,1,0,11,11,63,11,16,0,0,0
Misericordia University,27,35,76,1,0,PA,1,2,2,2,21,2,67,74,74,22,74,192,0,0,37
Missio Theological Seminary,3,2,3,0,0,PA,1,2,2,2,11,1,22,34,71,20,50,16,0,0,6
Mississippi College,63,53,51,33,0,MS,1,2,2,2,21,2,52,64,65,26,65,260,0,0,12
Mississippi State University,227,254,264,164,61,MS,1,1,2,2,33,5,40,60,64,20,64,1034,92,190,566
Mississippi University for Women,41,21,41,40,0,MS,1,1,2,2,33,2,36,43,47,20,46,169,0,0,5
Mississippi Valley State University,21,20,37,27,0,MS,1,1,1,2,33,2,16,25,27,20,27,118,0,0,7
Missouri Baptist University,15,10,40,4,0,MO,1,2,2,2,21,2,25,33,33,20,35,137,0,0,4
Missouri Southern State University,39,42,65,32,12,MO,1,1,2,2,13,3,15,28,33,29,32,224,0,0,42
Missouri State University-Springfield,224,153,218,138,0,MO,1,1,2,2,12,5,35,53,58,20,58,850,3,0,166
Missouri University of Science and Technology,127,111,95,0,5,MO,1,1,2,2,33,3,24,59,67,20,67,358,12,0,24
Missouri Valley College,8,29,32,16,0,MO,1,2,2,2,33,2,12,22,23,53,23,105,0,0,9
Missouri Western State University,51,48,55,18,0,MO,1,1,2,2,13,2,14,29,36,29,36,210,1,0,39
Mitchell College,2,8,6,0,0,CT,1,2,2,2,13,1,53,58,59,24,59,16,0,0,23
Mitchell Hamline School of Law,32,3,3,0,0,MN,1,2,2,2,11,2,22,34,71,20,50,136,0,0,29
Modesto Junior College,0,0,0,255,0,CA,1,1,2,2,12,4,22,34,71,12,20,359,0,0,8
Molloy College,52,52,71,12,0,NY,1,2,2,2,21,3,50,71,72,20,73,353,0,0,35
Monmouth College,28,18,33,0,10,IL,1,2,2,2,32,1,54,58,58,20,58,94,0,0,11
Monmouth University,40,100,70,11,90,NJ,1,2,2,2,21,3,64,73,74,21,74,439,0,0,39
Monroe College,0,0,0,250,0,NY,1,3,2,2,11,3,69,75,77,16,62,326,0,0,0
Montana Bible College,166,182,201,56,19,MT,1,2,2,2,41,1,67,67,67,20,43,-149,-5,74,60
Montana State University,219,195,162,35,0,MT,1,1,2,2,33,4,30,53,59,20,60,898,262,58,95
Montana State University Billings,28,29,40,7,38,MT,1,1,2,2,12,2,11,23,26,22,28,168,0,0,2
Montana State University-Northern,14,6,27,4,0,MT,1,1,2,2,33,2,25,33,35,20,35,62,2,2,8
Montana Technological University,37,32,28,32,0,MT,1,1,2,2,33,2,30,51,56,19,57,125,31,0,9
Montclair State University,202,214,130,0,0,NJ,1,1,2,2,21,5,45,65,68,6,68,976,0,0,7
Montreat College,13,8,17,0,0,NC,1,2,2,2,21,1,28,32,34,20,34,91,0,0,39
Montserrat College of Art,11,5,1,0,0,MA,1,2,2,2,21,1,52,64,64,20,64,37,0,0,14
Moody Bible Institute,35,9,13,11,0,IL,1,2,2,2,11,2,49,61,63,20,62,120,0,0,0
Moore College of Art and Design,4,9,10,1,0,PA,1,2,2,2,11,1,51,55,55,23,55,56,0,0,11
Moravian College,35,52,61,9,6,PA,1,2,2,2,13,2,66,69,69,21,69,234,0,0,5
Morehouse College,33,59,40,5,0,GA,1,2,1,2,11,2,40,53,56,20,56,140,4,21,9
Morehouse School of Medicine,74,64,78,20,0,GA,1,2,1,2,11,1,22,34,71,20,50,262,6,5,196
Morgan Community College,0,0,0,0,0,CO,1,1,2,2,33,2,22,34,71,12,47,58,0,0,13
Morgan State University,75,169,79,2,103,MD,1,1,1,2,11,3,20,39,46,29,46,478,27,7,24
Morris College,6,6,9,1,0,SC,1,2,1,2,13,1,8,22,26,36,26,27,0,0,7
Mount Aloysius College,10,18,17,14,0,PA,1,2,2,2,31,2,32,40,40,30,46,93,0,0,8
Mount Carmel College of Nursing,1,13,27,13,0,OH,1,2,2,2,11,1,73,78,80,20,80,74,0,0,6
Mount Holyoke College,69,49,47,5,36,MA,1,2,2,2,21,2,80,84,84,13,84,218,0,0,56
Mount Marty University,8,12,22,3,0,SD,1,2,2,2,33,2,43,53,53,32,53,64,0,0,13
Mount Mary University,9,18,30,5,0,WI,1,2,2,2,11,2,31,50,51,32,51,100,0,0,14
Mount Mercy University,13,22,45,0,4,IA,1,2,2,2,12,2,49,57,57,20,57,117,0,0,17
Mount Saint Joseph University,14,23,38,22,0,OH,1,2,2,2,21,2,44,53,55,20,55,137,0,0,30
Mount Saint Mary College,23,29,22,10,2,NY,1,2,2,2,13,2,49,60,60,20,60,140,0,0,12
Mount Saint Mary's University,35,37,43,12,0,CA,1,2,2,2,11,2,43,59,63,31,59,222,0,0,40
Mount St. Mary's University,27,48,31,0,21,MD,1,2,2,2,31,2,59,63,63,32,63,168,0,0,0
Mount Vernon Nazarene University,21,10,25,2,0,OH,1,2,2,2,32,2,55,61,62,25,62,171,0,0,11
Muhlenberg College,62,39,57,0,24,PA,1,2,2,2,12,2,79,80,81,20,81,229,4,41,14
Murray State University,97,89,158,98,0,KY,1,1,2,2,33,3,34,50,53,20,53,469,0,22,25
Musicians Institute,0,0,0,53,0,CA,1,3,2,2,11,1,38,44,44,20,50,94,0,0,32
Muskingum University,26,35,27,1,0,OH,1,2,2,2,32,2,42,55,56,6,56,116,0,5,16
Naropa University,13,18,16,10,0,CO,1,2,2,2,12,1,17,28,32,43,31,98,0,0,27
Nashotah House,2,1,4,1,0,WI,1,2,2,2,21,1,22,34,71,20,50,11,0,0,3
National American University-Albuquerque West,166,182,201,56,19,NM,1,3,2,2,11,-1,22,34,71,20,50,-149,-5,74,60
National American University-Bellevue,166,182,201,56,19,NE,1,3,2,2,21,-1,22,34,71,20,50,-149,-5,74,60
National American University-Colorado Springs South,166,182,201,56,19,CO,1,3,2,2,11,-1,22,34,71,20,50,-149,-5,74,60
National American University-Ellsworth AFB Extension,166,182,201,56,19,SD,1,3,2,2,31,1,0,0,0,20,0,2,0,0,1
National American University-Garden City,166,182,201,56,19,KS,1,3,2,2,33,-1,22,34,71,20,50,-149,-5,74,60
National American University-Georgetown,166,182,201,56,19,TX,1,3,2,2,13,1,0,0,0,20,20,2,0,0,0
National American University-Harold D. Buckingham Graduate School,166,182,201,56,19,SD,1,3,2,2,13,-1,22,34,71,20,50,-149,-5,74,60
National American University-Indianapolis,166,182,201,56,19,IN,1,3,2,2,11,-1,22,34,71,20,50,-149,-5,74,60
National American University-Killeen,166,182,201,56,19,TX,1,3,2,2,12,-1,22,34,71,20,50,-149,-5,74,60
National American University-Kings Bay,166,182,201,56,19,GA,1,3,2,2,41,1,22,34,71,20,50,0,0,0,0
National American University-Mesquite,166,182,201,56,19,TX,1,3,2,2,21,-1,22,34,71,20,50,-149,-5,74,60
National American University-Rapid City,0,0,0,0,0,SD,1,3,2,2,13,2,0,0,0,20,19,84,0,0,48
National American University-Richardson,166,182,201,56,19,TX,1,3,2,2,12,-1,22,34,71,20,50,-149,-5,74,60
National Louis University,17,51,109,0,6,IL,1,2,2,2,11,3,11,11,22,33,22,324,0,0,98
National Paralegal College,166,182,201,56,19,AZ,1,3,2,2,11,1,10,10,10,20,36,13,0,0,11
National University,95,56,47,13,0,CA,1,2,2,2,11,4,4,18,43,7,47,975,0,0,133
National University of Health Sciences,14,9,15,19,0,IL,1,2,2,2,21,1,22,34,71,20,50,72,1,5,4
National University of Natural Medicine,7,7,12,0,0,OR,1,2,2,2,11,1,22,34,71,20,50,43,4,0,4
Navajo Technical University,3,17,35,20,7,NM,1,1,2,1,43,2,0,7,13,20,9,116,0,1,28
Naval Postgraduate School,91,75,48,0,80,CA,1,1,2,2,22,2,22,34,71,20,50,310,163,0,40
Nazarene Bible College,0,0,0,0,0,CO,1,2,2,2,11,1,0,100,100,11,56,38,0,0,0
Nazareth College,68,45,68,2,0,NY,1,2,2,2,21,2,61,70,71,23,71,274,0,0,19
Nebraska Christian College of Hope International University,166,182,201,56,19,NE,1,2,2,2,41,-1,22,34,71,20,50,-149,-5,74,60
Nebraska Wesleyan University,41,23,31,9,0,NE,1,2,2,2,11,2,53,62,63,27,63,134,0,0,9
Ner Israel Rabbinical College,13,0,0,0,0,MD,1,2,2,2,21,1,31,45,50,10,50,13,1,0,8
Neumann University,22,29,39,5,0,PA,1,2,2,2,21,2,31,48,51,20,51,136,0,0,29
Neumont College of Computer Science,0,0,0,12,0,UT,1,3,2,2,12,1,64,66,67,20,67,17,0,0,17
Nevada State College,6,24,38,0,38,NV,1,1,2,2,41,3,8,19,23,35,23,210,0,0,0
New Brunswick Theological Seminary,1,4,3,0,0,NJ,1,2,2,2,13,1,22,34,71,20,50,16,0,0,6
New College of Florida,31,25,45,4,0,FL,1,1,2,2,13,1,56,62,64,29,64,114,0,0,4
New England College,24,20,22,4,0,NH,1,2,2,2,42,2,21,23,23,20,21,236,0,0,34
New England College of Optometry,9,14,26,0,0,MA,1,2,2,2,11,1,22,34,71,20,50,56,5,0,3
New England Culinary Institute,166,182,201,56,19,VT,1,3,2,2,32,1,72,72,72,20,65,1,0,0,0
New England Institute of Technology,18,32,44,22,0,RI,1,2,2,2,21,2,22,34,71,20,48,180,0,0,54
New England Law-Boston,23,1,0,3,0,MA,1,2,2,2,11,1,22,34,71,20,50,46,14,0,3
New Hope Christian College-Eugene,166,182,201,56,19,OR,1,2,2,2,12,1,21,25,25,30,27,0,0,0,1
New Jersey City University,79,87,74,0,0,NJ,1,1,2,2,11,3,13,29,36,32,36,396,0,0,200
New Jersey Institute of Technology,135,98,81,1,129,NJ,1,1,2,2,11,4,41,65,70,23,70,558,51,0,33
New Mexico Highlands University,25,29,48,24,0,NM,1,1,2,2,33,2,20,25,29,44,29,157,0,0,48
New Mexico Institute of Mining and Technology,39,41,40,13,0,NM,1,1,2,2,33,2,30,49,54,20,54,147,6,0,33
New Mexico State University-Main Campus,206,180,226,4,0,NM,1,1,2,2,22,4,26,46,51,20,51,710,44,129,43
New Orleans Baptist Theological Seminary,41,6,6,0,0,LA,1,2,2,2,11,2,5,5,9,20,9,90,0,0,22
New Saint Andrews College,166,182,201,56,19,ID,1,2,2,2,32,1,31,58,65,20,69,-149,-5,74,60
New York Academy of Art,6,0,0,0,0,NY,1,2,2,2,11,1,22,34,71,20,50,29,0,0,6
New York Chiropractic College,10,13,11,6,0,NY,1,2,2,2,32,1,22,34,71,20,50,56,0,0,13
New York College of Health Professions,166,182,201,56,19,NY,1,2,2,2,21,1,22,34,71,34,41,21,0,0,5
New York College of Podiatric Medicine,10,8,3,9,0,NY,1,2,2,2,11,1,22,34,71,20,50,31,0,0,1
New York College of Traditional Chinese Medicine,166,182,201,56,19,NY,1,2,2,2,21,1,22,34,71,20,50,14,0,0,3
New York Film Academy,0,0,0,95,0,CA,1,3,2,2,12,2,33,33,33,1,56,268,1,1,78
New York Institute of Technology,60,151,119,8,0,NY,1,2,2,2,21,3,33,48,50,27,50,515,0,0,6
New York Law School,32,7,2,4,0,NY,1,2,2,2,11,2,22,34,71,20,50,75,0,0,24
New York Medical College,117,64,132,24,0,NY,1,2,2,2,21,2,22,34,71,20,50,345,194,0,0
New York School of Interior Design,166,182,201,56,19,NY,1,2,2,2,11,1,20,80,80,20,62,34,0,0,6
New York Theological Seminary,5,4,2,0,0,NY,1,2,2,2,11,1,22,34,71,20,50,11,0,0,7
New York University,1735,1380,2153,325,212,NY,1,2,2,2,11,5,79,86,88,6,88,7256,1082,13,1030
Newberry College,16,21,37,2,0,SC,1,2,2,2,32,2,38,51,52,20,52,87,0,0,14
Newman University,13,27,34,8,0,KS,1,2,2,2,11,2,38,46,47,20,47,132,0,0,2
Newschool of Architecture and Design,5,7,3,0,1,CA,1,3,2,2,11,1,6,37,40,20,40,43,0,0,5
Niagara University,46,62,30,7,0,NY,1,2,2,2,21,2,71,76,77,20,77,239,0,0,7
Nicholls State University,39,50,96,74,0,LA,1,1,2,2,13,3,22,40,44,28,45,291,0,0,21
Nichols College,6,27,19,0,0,MA,1,2,2,2,21,2,51,55,55,12,55,84,0,0,26
Nightingale College,0,0,87,1,0,UT,1,3,2,2,12,2,22,34,71,20,37,97,0,0,63
Norfolk State University,78,59,82,23,0,VA,1,1,1,2,12,3,17,32,40,19,39,282,0,0,105
North American University,1,3,6,4,5,TX,1,2,2,2,21,1,49,53,53,14,53,26,0,0,9
North Carolina A & T State University,112,172,120,5,24,NC,1,1,1,2,11,4,26,46,52,25,52,572,20,0,90
North Carolina Central University,79,113,88,17,52,NC,1,1,1,2,11,3,27,47,52,27,52,436,2,0,51
North Carolina State University at Raleigh,752,467,437,1,175,NC,1,1,2,2,11,5,59,82,85,10,84,1945,382,292,924
North Carolina Wesleyan College,14,20,20,6,0,NC,1,2,2,2,13,2,24,31,31,35,31,109,0,0,52
North Central College,48,51,57,1,3,IL,1,2,2,2,12,2,58,65,66,20,66,212,0,0,3
North Central State College,0,17,24,4,0,OH,1,1,2,2,41,2,22,34,71,13,19,84,0,0,16
North Central University,4,13,16,1,0,MN,1,2,2,2,11,2,41,51,52,20,53,59,0,0,24
North Dakota State University-Main Campus,129,167,170,2,66,ND,1,1,2,2,12,4,38,57,62,24,62,581,187,148,82
North Florida College,0,0,0,0,0,FL,1,1,2,2,41,2,22,34,71,9,45,34,0,0,6
North Greenville University,50,26,36,42,0,SC,1,2,2,2,41,2,42,49,51,20,51,170,0,0,40
North Park University,59,39,24,1,0,IL,1,2,2,2,11,2,42,58,59,20,59,224,0,0,34
North Seattle College,0,0,0,0,0,WA,1,1,2,2,11,3,22,34,71,25,30,156,0,0,24
Northcentral University,59,25,10,0,0,CA,1,2,2,2,11,4,22,34,71,20,50,226,3,0,82
Northeast Ohio Medical University,28,28,21,1,0,OH,1,1,2,2,21,1,22,34,71,20,50,81,7,0,69
Northeastern Illinois University,56,97,50,68,0,IL,1,1,2,2,11,3,5,17,23,20,23,357,0,0,133
Northeastern State University,69,69,105,39,3,OK,1,1,2,2,33,3,18,31,36,22,36,329,1,5,27
Northeastern University,415,406,326,111,27,MA,1,2,2,2,11,5,0,27,90,6,90,1561,263,0,554
Northeastern University Lifelong Learning Network,10,52,41,22,1,MA,1,2,2,2,11,4,22,34,71,20,50,473,0,0,43
Northern Arizona University,281,213,254,7,220,AZ,1,1,2,2,13,5,42,54,57,20,57,1135,23,0,208
Northern Illinois University,222,228,152,153,0,IL,1,1,2,2,23,4,27,44,48,20,48,870,16,1,191
Northern Kentucky University,129,138,94,0,249,KY,1,1,2,2,21,4,28,44,48,20,47,777,0,0,8
Northern Michigan University,114,66,69,29,0,MI,1,1,2,2,33,3,28,45,50,20,47,336,0,0,54
Northern New Mexico College,0,19,17,11,0,NM,1,1,2,2,32,2,6,11,20,35,31,71,0,0,38
Northern State University,21,19,34,14,1,SD,1,1,2,2,33,2,29,46,48,27,45,103,0,0,24
Northern Vermont University,27,22,18,0,0,VT,1,1,2,2,42,2,32,42,43,32,44,129,0,0,21
Northland College,13,9,22,5,0,WI,1,2,2,2,33,1,50,55,56,15,56,54,2,0,24
Northpoint Bible College,3,1,1,0,0,MA,1,2,2,2,21,1,34,37,43,20,44,28,0,0,6
Northwest College of Art & Design,166,182,201,56,19,WA,1,3,2,2,12,1,40,40,40,20,40,4,0,0,0
Northwest Florida State College,37,0,13,0,0,FL,1,1,2,2,41,3,22,34,71,17,33,135,0,0,33
Northwest Indian College,0,0,0,0,0,WA,1,1,2,1,41,1,5,10,10,20,24,45,4,0,26
Northwest Missouri State University,35,61,80,52,3,MO,1,1,2,2,33,3,35,50,53,28,54,253,0,0,52
Northwest Nazarene University,31,31,37,0,0,ID,1,2,2,2,22,2,41,62,62,20,62,129,0,0,5
Northwest University,14,18,21,3,0,WA,1,2,2,2,21,2,54,61,61,20,58,111,0,0,11
Northwest University-College of Adult and Professional Studies,166,182,201,56,19,WA,1,2,2,2,21,2,22,34,71,20,50,36,0,0,0
Northwestern College,3,9,5,4,0,IL,1,3,2,2,21,1,22,34,71,20,67,30,0,0,2
Northwestern College,29,17,18,6,0,IA,1,2,2,2,32,2,64,68,69,24,69,110,0,0,17
Northwestern Health Sciences University,12,16,25,9,0,MN,1,2,2,2,13,2,22,34,71,20,67,80,0,0,14
Northwestern Michigan College,0,0,0,0,0,MI,1,1,2,2,33,2,25,58,58,25,23,160,0,0,64
Northwestern Oklahoma State University,21,16,21,24,1,OK,1,1,2,2,33,2,13,24,26,26,26,102,0,0,4
Northwestern Polytechnic University,0,0,0,4,0,CA,1,2,2,2,21,1,33,33,33,20,33,5,0,0,9
Northwestern State University of Louisiana,59,77,137,47,0,LA,1,1,2,2,33,4,31,44,48,20,47,397,0,0,49
Northwestern University,1013,606,526,19,161,IL,1,2,2,2,13,5,85,94,95,20,95,2438,1141,0,85
Northwood University,3,14,31,0,0,MI,1,2,2,2,13,2,43,55,58,20,58,180,0,0,21
Norwich University,38,49,30,0,38,VT,1,2,2,2,32,2,50,55,57,20,57,243,1,0,29
Nossi College of Art,0,0,0,3,0,TN,1,3,2,2,11,1,25,25,78,20,71,15,0,0,1
Notre Dame College,3,16,21,9,0,OH,1,2,2,2,21,2,26,40,43,20,43,94,0,0,34
Notre Dame de Namur University,18,5,5,1,0,CA,1,2,2,2,21,1,39,47,48,33,49,49,0,1,10
Notre Dame of Maryland University,13,30,56,0,0,MD,1,2,2,2,11,2,40,48,49,41,49,129,0,0,7
Nova Southeastern University,201,251,332,40,3,FL,1,2,2,2,21,5,54,60,62,30,62,1142,70,0,301
Nueta Hidatsa Sahnish College,0,0,0,0,0,ND,1,1,2,1,43,1,22,34,71,20,0,26,3,1,5
Nyack College,22,14,13,0,5,NY,1,2,2,2,11,2,34,41,43,20,43,95,0,0,25
Oak Hills Christian College,0,0,0,0,0,MN,1,2,2,2,33,1,13,25,29,20,32,9,0,0,6
Oak Valley College,166,182,201,56,19,CA,1,2,2,2,21,1,22,34,71,20,50,10,0,0,0
Oakland City University,9,8,6,1,10,IN,1,2,2,2,32,2,16,45,47,18,57,68,0,0,140
Oakland University,153,247,172,65,0,MI,1,1,2,2,21,4,31,51,56,9,56,832,5,0,193
Oakwood University,15,39,47,0,0,AL,1,2,1,2,12,2,27,43,50,2,50,118,4,0,11
Oberlin College,83,80,73,3,0,OH,1,2,2,2,31,2,77,86,86,20,86,310,0,0,39
Oblate School of Theology,10,2,5,1,0,TX,1,2,2,2,11,1,22,34,71,20,50,25,0,0,7
Occidental College,72,49,33,0,0,CA,1,2,2,2,11,2,78,83,84,12,84,223,0,0,28
Odessa College,15,42,18,51,0,TX,1,1,2,2,12,3,22,34,71,17,25,186,1,2,71
Oglala Lakota College,1,8,49,0,0,SD,1,1,2,1,43,2,0,1,3,9,6,73,0,0,26
Oglethorpe University,19,11,24,2,20,GA,1,2,2,2,21,2,40,46,50,20,51,93,0,0,8
Ohio Christian University,4,6,7,0,0,OH,1,2,2,2,32,2,41,46,46,23,34,148,0,0,0
Ohio Dominican University,8,21,24,1,3,OH,1,2,2,2,11,2,47,53,54,12,53,81,0,0,10
Ohio Northern University,64,66,72,13,0,OH,1,2,2,2,31,2,59,68,71,18,76,232,0,0,3
Ohio State University-Lima Campus,10,16,2,0,0,OH,1,1,2,2,41,1,6,10,11,64,18,41,0,0,1
Ohio State University-Main Campus,1311,1226,1877,9,0,OH,1,1,2,2,11,5,65,84,87,8,87,5221,106,0,839
Ohio State University-Mansfield Campus,6,24,2,0,0,OH,1,1,2,2,41,2,4,7,9,63,20,48,0,0,0
Ohio State University-Marion Campus,8,15,14,0,0,OH,1,1,2,2,32,2,4,7,7,64,13,56,0,0,2
Ohio State University-Newark Campus,9,30,10,0,0,OH,1,1,2,2,23,2,2,3,4,49,32,87,0,0,3
Ohio University-Chillicothe Campus,0,12,3,1,24,OH,1,1,2,2,32,2,13,19,21,25,20,58,0,0,3
Ohio University-Eastern Campus,0,12,2,0,1,OH,1,1,2,2,41,2,17,27,30,35,30,21,0,0,0
Ohio University-Lancaster Campus,3,18,1,0,5,OH,1,1,2,2,41,2,13,20,23,29,25,45,0,0,0
Ohio University-Main Campus,265,275,146,0,289,OH,1,1,2,2,32,5,48,63,66,23,66,1094,0,0,145
Ohio University-Southern Campus,1,7,4,0,18,OH,1,1,2,2,22,2,18,28,30,19,30,47,0,0,1
Ohio University-Zanesville Campus,6,17,1,0,3,OH,1,1,2,2,32,2,20,27,30,28,27,41,0,0,2
Ohio Valley University,3,0,14,0,0,WV,1,2,2,2,13,1,23,30,30,20,25,29,0,0,14
Ohio Wesleyan University,45,44,25,1,0,OH,1,2,2,2,21,2,60,65,67,20,67,152,0,0,18
Ohr Hameir Theological Seminary,166,182,201,56,19,NY,1,2,2,2,21,1,0,0,0,100,0,6,0,0,0
Oklahoma Baptist University,33,23,35,8,0,OK,1,2,2,2,32,2,48,54,55,2,55,117,0,0,1
Oklahoma Christian University,39,17,23,7,0,OK,1,2,2,2,11,2,46,59,60,9,60,117,0,0,2
Oklahoma City University,79,51,47,14,0,OK,1,2,2,2,11,2,58,69,71,2,71,235,0,0,28
Oklahoma Panhandle State University,6,5,17,14,1,OK,1,1,2,2,42,2,28,33,36,9,27,56,0,0,1
Oklahoma State University Center for Health Sciences,46,39,93,0,0,OK,1,1,2,2,11,2,22,34,71,20,50,178,0,4,7
Oklahoma State University Institute of Technology,0,0,0,0,0,OK,1,1,2,2,32,2,22,34,71,37,41,104,0,0,14
Oklahoma State University-Main Campus,333,270,283,1,107,OK,1,1,2,2,32,5,44,60,64,14,64,1310,58,70,246
Oklahoma State University-Oklahoma City,7,17,26,31,0,OK,1,1,2,2,11,2,22,34,71,26,17,129,0,0,1
Oklahoma Wesleyan University,3,3,22,4,0,OK,1,2,2,2,32,1,31,34,35,20,36,49,0,0,37
Old Dominion University,207,221,194,6,214,VA,1,1,2,2,12,5,27,47,53,27,53,1037,20,0,134
Olivet College,8,18,19,0,0,MI,1,2,2,2,42,2,43,48,49,20,49,58,0,0,3
Olivet Nazarene University,50,38,35,1,0,IL,1,2,2,2,23,2,53,63,65,20,65,209,0,0,9
Olympic College,0,0,0,130,0,WA,1,1,2,2,13,3,22,34,71,16,30,252,0,0,22
Omega Graduate School,166,182,201,56,19,TN,1,2,2,2,41,1,22,34,71,20,50,6,0,0,1
Oral Roberts University,56,30,45,0,15,OK,1,2,2,2,11,2,45,54,56,20,56,226,0,0,3
Oregon Health & Science University,221,318,699,501,7,OR,1,1,2,2,11,2,22,34,71,20,50,2079,387,0,51
Oregon Institute of Technology,47,57,40,21,0,OR,1,1,2,2,33,3,25,44,50,26,51,212,0,3,17
Oregon State University,344,328,243,436,0,OR,1,1,2,2,13,5,41,64,69,18,69,1460,610,117,597
Oregon State University-Cascades Campus,166,182,201,56,19,OR,1,1,2,2,12,2,22,34,71,20,50,15,6,1,6
Otis College of Art and Design,14,19,15,0,0,CA,1,2,2,2,11,2,65,71,73,20,73,145,0,0,31
Ottawa University-Kansas City,1,1,2,0,0,KS,1,2,2,2,12,1,22,34,71,20,50,8,0,0,1
Ottawa University-Milwaukee,166,182,201,56,19,WI,1,2,2,2,21,1,22,34,71,20,50,11,0,0,0
Ottawa University-Online,166,182,201,56,19,KS,1,2,2,2,32,1,22,34,71,20,50,50,0,0,8
Ottawa University-Ottawa,6,11,9,1,0,KS,1,2,2,2,32,1,27,34,37,1,37,40,0,0,7
Ottawa University-Surprise,1,1,7,1,0,AZ,1,2,2,2,21,1,22,34,71,20,50,20,0,0,8
Otterbein University,61,51,23,7,9,OH,1,2,2,2,21,2,56,64,66,24,66,203,0,0,13
Ouachita Baptist University,43,28,21,7,5,AR,1,2,2,2,32,2,54,60,60,20,60,117,0,0,3
Our Lady of the Lake University,30,27,47,1,0,TX,1,2,2,2,11,2,30,37,38,20,38,161,0,0,1
Ozark Christian College,24,0,0,0,0,MO,1,2,2,2,13,1,23,47,51,27,57,33,0,0,14
Pace University,191,139,110,1,38,NY,1,2,2,2,11,4,46,56,58,28,59,753,0,0,189
Pacific Bible College,166,182,201,56,19,OR,1,2,2,2,13,1,22,34,71,20,50,5,0,0,0
Pacific College,0,0,0,0,0,CA,1,3,2,2,12,1,22,34,71,20,77,27,0,1,12
Pacific College of Health and Science,0,0,0,14,0,CA,1,3,2,2,11,1,22,34,71,20,29,36,0,0,0
Pacific College of Health Science-Chicago,0,0,0,4,0,IL,1,3,2,2,11,1,22,34,71,20,80,13,0,0,0
Pacific College of Oriental Medicine-New York,0,0,0,4,0,NY,1,3,2,2,11,1,22,34,71,20,80,28,0,0,0
Pacific Lutheran University,50,77,61,10,0,WA,1,2,2,2,21,2,63,70,71,20,71,232,0,0,3
Pacific Northwest College of Art,2,14,4,0,0,OR,1,2,2,2,11,1,27,40,40,20,42,51,0,0,32
Pacific Northwest University of Health Sciences,3,10,13,0,0,WA,1,2,2,2,22,1,22,34,71,20,50,36,4,0,48
Pacific Oaks College,0,0,0,0,0,CA,1,2,2,2,12,2,22,34,71,20,50,101,0,0,33
Pacific Rim Christian University,166,182,201,56,19,HI,1,2,2,2,11,1,0,33,33,75,25,13,0,0,1
Pacific States University,166,182,201,56,19,CA,1,2,2,2,11,1,0,0,0,100,0,5,0,0,3
Pacific Union College,28,11,23,3,0,CA,1,2,2,2,41,1,29,45,47,35,51,66,0,0,21
Pacific University,72,87,111,10,0,OR,1,2,2,2,21,2,58,63,64,20,64,335,6,3,18
Pacifica Graduate Institute,33,0,0,0,0,CA,1,3,2,2,41,1,22,34,71,20,50,86,0,0,30
Paier College of Art Inc,166,182,201,56,19,CT,1,3,2,2,21,1,55,55,55,8,62,14,0,0,0
Paine College,2,4,19,6,0,GA,1,2,1,2,12,1,7,7,8,20,8,34,1,0,13
Palm Beach Atlantic University,44,61,52,7,0,FL,1,2,2,2,12,2,46,56,58,20,57,218,0,0,54
Palm Beach State College,58,42,85,155,0,FL,1,1,2,2,21,5,22,34,71,12,44,582,0,0,179
Palmer College of Chiropractic,33,55,26,15,0,IA,1,2,2,2,12,2,22,34,71,100,0,136,10,4,0
Palo Alto University,12,13,16,0,0,CA,1,2,2,2,41,2,22,34,71,20,50,65,0,0,7
Pardee RAND Graduate School,166,182,201,56,19,CA,1,2,2,2,13,1,22,34,71,20,50,1,0,0,5
Park University,20,36,39,2,15,MO,1,2,2,2,21,4,11,23,27,33,28,383,0,0,129
Parker University,12,10,31,20,0,TX,1,2,2,2,11,2,100,100,100,9,76,102,0,0,26
Pasco-Hernando State College,31,32,38,47,0,FL,1,1,2,2,21,3,22,34,71,14,32,225,0,0,15
Pathways College,166,182,201,56,19,CA,1,2,2,2,12,1,22,34,71,20,50,2,0,0,1
Patrick Henry College,8,5,5,0,0,VA,1,2,2,2,31,1,49,51,61,20,61,18,0,0,3
Paul Quinn College,0,7,0,0,6,TX,1,2,1,2,11,1,11,20,21,15,21,22,0,0,0
Paul Smiths College of Arts and Science,19,10,9,6,0,NY,1,2,2,2,42,1,45,50,51,20,55,55,3,8,20
PCI College,166,182,201,56,19,CA,1,3,2,2,21,1,22,34,71,20,73,3,0,0,0
