institution,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff
Anabaptist Mennonite Biblical Seminary,0,5,4,0,0,IN,1,2,2,2,13,1,22,34,71,20,50,9,0,0,0
Anderson University,21,39,69,25,9,SC,1,2,2,2,13,2,51,52,57,20,57,294,0,0,10
Anderson University,40,20,42,2,0,IN,1,2,2,2,13,2,55,63,64,23,64,128,0,0,11
Andrew College,1,8,16,1,0,GA,1,2,2,2,32,1,22,34,71,52,29,29,0,0,1
Andrews University,70,61,65,3,0,MI,1,2,2,2,31,2,36,55,61,22,61,231,0,0,48
Angeles College,3,1,0,4,0,CA,1,3,2,2,11,1,86,86,86,20,98,11,0,0,0
Angelo State University,78,58,67,73,1,TX,1,1,2,2,12,4,31,39,43,32,43,339,0,0,44
Anna Maria College,3,8,28,3,0,MA,1,2,2,2,41,2,43,49,50,37,50,90,0,0,10
Antelope Valley College,46,67,0,18,0,CA,1,1,2,2,21,4,22,34,71,4,27,375,0,0,35
Antioch College,0,7,9,0,0,OH,1,2,2,2,31,1,59,63,66,17,66,16,0,0,9
Antioch College AG,166,182,201,56,19,VA,1,2,2,2,12,1,100,100,100,20,67,4,0,0,1
Antioch University Online,0,0,0,0,0,OH,1,2,2,2,41,1,22,34,71,20,50,19,0,0,4
Antioch University-Los Angeles,0,0,0,0,0,CA,1,2,2,2,21,1,22,34,71,20,50,67,0,0,2
Antioch University-Midwest,166,182,201,56,19,OH,1,2,2,2,41,1,22,34,71,20,50,-149,-5,74,60
Antioch University-New England,0,0,0,0,0,NH,1,2,2,2,32,1,22,34,71,20,50,81,0,0,2
Antioch University-PhD Program in Leadership and Change,166,182,201,56,19,OH,1,2,2,2,41,1,22,34,71,20,50,10,0,0,1
Antioch University-Santa Barbara,0,0,0,0,0,CA,1,2,2,2,13,1,22,34,71,20,50,23,0,0,3
Antioch University-Seattle,0,0,0,0,0,WA,1,2,2,2,11,1,22,34,71,20,50,80,0,0,0
AOMA Graduate School of Integrative Medicine,8,0,0,1,0,TX,1,3,2,2,11,1,22,34,71,20,50,14,0,0,4
Appalachian Bible College,4,1,5,3,0,WV,1,2,2,2,41,1,52,57,57,20,44,19,0,0,2
Appalachian College of Pharmacy,1,4,17,0,0,VA,1,2,2,2,43,1,22,34,71,20,50,22,1,0,5
Appalachian School of Law,2,2,8,0,0,VA,1,2,2,2,43,1,22,34,71,20,50,20,0,0,10
Appalachian State University,331,227,225,13,220,NC,1,1,2,2,32,5,54,70,73,19,73,1159,2,0,151
Aquinas College,25,32,20,8,0,MI,1,2,2,2,12,2,39,60,64,25,65,119,0,0,24
Aquinas Institute of Theology,3,2,5,0,0,MO,1,2,2,2,11,1,22,34,71,20,50,15,0,0,5
Arapahoe Community College,109,0,0,0,0,CO,1,1,2,2,21,4,22,34,71,22,26,235,0,0,58
Arcadia University,28,51,68,14,0,PA,1,2,2,2,21,2,60,64,65,27,65,286,1,0,40
Arizona Christian University,2,9,12,2,0,AZ,1,2,2,2,21,1,38,44,44,29,44,46,0,0,0
Arizona College of Nursing-Fort Lauderdale,166,182,201,56,19,FL,1,3,2,2,12,1,22,34,71,20,50,3,0,0,3
Arizona College of Nursing-Las Vegas,0,0,0,0,0,NV,1,3,2,2,11,1,22,34,71,20,50,26,0,0,7
Arizona College of Nursing-Phoenix,166,182,201,56,19,AZ,1,3,2,2,11,1,22,34,71,20,50,2,0,0,2
Arizona College of Nursing-Tampa,166,182,201,56,19,FL,1,3,2,2,11,1,22,34,71,20,50,3,0,0,3
Arizona College of Nursing-Tempe,0,0,0,0,0,AZ,1,3,2,2,12,1,22,34,71,20,50,34,0,0,12
Arizona College of Nursing-Tucson,0,0,0,0,0,AZ,1,3,2,2,11,1,22,34,71,20,50,5,0,0,4
Arizona College-Dallas,0,0,0,0,0,TX,1,3,2,2,11,1,22,34,71,20,50,7,0,0,9
Arizona School of Acupuncture and Oriental Medicine,166,182,201,56,19,AZ,1,3,2,2,11,1,22,34,71,20,50,12,0,0,2
Arizona State University Campus Immersion,825,754,684,352,559,AZ,1,1,2,2,12,5,51,63,66,21,66,3552,157,7,265
Arizona State University Digital Immersion,188,209,156,174,275,AZ,1,1,2,2,11,5,8,22,24,29,24,1173,9,0,103
Arizona State University-Downtown Phoenix,166,182,201,56,19,AZ,1,1,2,2,11,-2,22,34,71,20,50,-149,-5,74,60
Arizona State University-Polytechnic,166,182,201,56,19,AZ,1,1,2,2,11,-2,22,34,71,20,50,-149,-5,74,60
Arizona State University-West,166,182,201,56,19,AZ,1,1,2,2,11,-2,22,34,71,20,50,-149,-5,74,60
Arkansas Baptist College,1,0,0,9,0,AR,1,2,1,2,12,1,0,0,0,28,12,16,0,0,15
Arkansas Colleges of Health Education,5,11,20,2,0,AR,1,2,2,2,41,1,22,34,71,20,50,41,1,0,14
Arkansas State University,110,125,162,136,0,AR,1,1,2,2,13,4,37,48,51,26,53,598,0,0,51
Arkansas Tech University,77,76,100,43,0,AR,1,1,2,2,33,4,27,38,41,22,44,441,0,0,40
Arlington Baptist University,0,0,0,5,0,TX,1,2,2,2,11,1,9,21,21,32,21,9,0,0,0
